"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\ATL-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\ATL-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\ATL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Elec-cntls"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Elec-cntls"	"FullControl"	"Allow"	"POWERENG\FS-ATLFS1-FAC_Elec-Cntls-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Elec-cntls"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ATLFS1-FAC_Elec-Cntls-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Elec-cntls"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ATLFS1-FAC_Elec-Cntls-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Proj_Mgmt"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Proj_Mgmt"	"FullControl"	"Allow"	"POWERENG\FS-ATLFS1-FAC_Proj_Mgmt-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Proj_Mgmt"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ATLFS1-FAC_Proj_Mgmt-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Proj_Mgmt"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ATLFS1-FAC_Proj_Mgmt-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\generation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\generation"	"FullControl"	"Allow"	"POWERENG\FS-ATLFS1-Generation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\generation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ATLFS1-Generation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\generation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ATLFS1-Generation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\generation\zusers\UPS\UPS\WSTD"	"FullControl"	"Allow"	"NT AUTHORITY\Authenticated Users"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared"	"FullControl"	"Allow"	"POWERENG\FS-ATLFS1-FAC_Shared-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ATLFS1-FAC_Shared-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ATLFS1-FAC_Shared-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared\CAD Manager"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-1988"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared\CAD Manager"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-6741"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared\CAD Manager"	"Modify, Synchronize"	"Allow"	"POWERENG\dkrancer"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared\CAD Manager"	"Modify, Synchronize"	"Allow"	"POWERENG\sbigham"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared\CAD Manager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared\CAD Manager"	"Modify, Synchronize"	"Allow"	"POWERENG\chammer"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared\OneNote_Shares\Facilities PGroup"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-1988"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared\OneNote_Shares\Facilities PGroup"	"Modify, Synchronize"	"Allow"	"POWERENG\jhaynes"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ATL-SMB01\Shares$\REPLICATE\FAC_Shared\OneNote_Shares\Facilities PGroup"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-6977"	"ContainerInherit, ObjectInherit"	"None"
