"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\atlfs1\FAC_Elec-Cntls"	"92"	"2083"	"484937204"	"0"	"0"	"2083"	"484937204"	"2083"	"484937204"	"2083"	"484937204"	"2083"	"484937204"	"2083"	"484937204"	"2082"	"484936639"	"2081"	"484936167"	"2081"	"484936167"	"2081"	"484936167"	"2081"	"484936167"
"\\atlfs1\FAC_Proj_Mgmt"	"28"	"95"	"53139411"	"0"	"0"	"95"	"53139411"	"95"	"53139411"	"95"	"53139411"	"95"	"53139411"	"95"	"53139411"	"94"	"53138885"	"94"	"53138885"	"94"	"53138885"	"93"	"53092293"	"92"	"53071056"
"\\atlfs1\FAC_Shared"	"57909"	"526144"	"816511712747"	"3187"	"18739523793"	"522957"	"797772188954"	"477504"	"717308524400"	"440307"	"652324483369"	"433541"	"645969663792"	"426676"	"638790716900"	"415079"	"614268237630"	"395761"	"573748437649"	"368917"	"523501465032"	"323183"	"463263998911"	"259474"	"298854245313"
"\\atlfs1\Generation"	"95095"	"990095"	"1691507516811"	"17709"	"4030050855"	"972386"	"1687477465956"	"966858"	"1685908520424"	"959471"	"1625180950900"	"950925"	"1541794346878"	"935061"	"1332769791067"	"925634"	"1295103563551"	"895014"	"1192468137480"	"883648"	"1015490997154"	"862188"	"888630872896"	"722329"	"677725495594"
"\\atlfs1\MultiDept"	"1262"	"24065"	"23306399509"	"5"	"1011983"	"24060"	"23305387526"	"24060"	"23305387526"	"24059"	"23305387000"	"24058"	"23305387000"	"24057"	"23305309013"	"24057"	"23305309013"	"24047"	"23301951317"	"24046"	"23301932373"	"24041"	"23296494933"	"24031"	"23295586233"
"\\atlfs1\PTE"	"2280"	"34252"	"47955285035"	"0"	"0"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"
"\\atlfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\atlfs1\Standards"	"305"	"14940"	"5933667758"	"2"	"10008115"	"14938"	"5923659643"	"14938"	"5923659643"	"14936"	"5922837274"	"14936"	"5922837274"	"14911"	"5830409892"	"14902"	"5784817375"	"14887"	"5635161141"	"14841"	"5406657442"	"14626"	"4800165427"	"14444"	"4425506924"
"\\atlfs1\Studies"	"9981"	"160536"	"129121452254"	"0"	"0"	"160536"	"129121452254"	"160536"	"129121452254"	"160536"	"129121452254"	"160536"	"129121452254"	"160536"	"129121452254"	"160536"	"129121452254"	"160535"	"129121440990"	"160535"	"129121440990"	"160535"	"129121440990"	"160535"	"129121440990"
"\\atlfs1\Substation"	"169919"	"1796449"	"2050395976266"	"135098"	"170923571316"	"1661351"	"1879472404950"	"1511600"	"1670881302007"	"1379234"	"1456889617339"	"1256800"	"1271644675870"	"1145310"	"1109657549212"	"1033576"	"946292167563"	"906308"	"790873269544"	"779487"	"661045300954"	"683205"	"541336009779"	"580333"	"440310275954"
"\\atlfs1\TanDpm"	"18961"	"166641"	"225364012550"	"0"	"0"	"166641"	"225364012550"	"166641"	"225364012550"	"166641"	"225364012550"	"166641"	"225364012550"	"166641"	"225364012550"	"166641"	"225364012550"	"166638"	"221727367686"	"157535"	"203743069016"	"150250"	"191634013387"	"135520"	"169804617483"
"\\atlfs1\UpdateManager"	"5913"	"175014"	"29546340926"	"4378"	"4710850338"	"170636"	"24835490588"	"167940"	"17692122741"	"150799"	"11449702949"	"140200"	"10010474702"	"136513"	"7985109392"	"103845"	"7088428426"	"86158"	"5734635347"	"82580"	"5205421842"	"80763"	"4973584543"	"72585"	"4489649926"
"\\atlfs1\Xchange"	"192"	"10102"	"2752586426"	"6391"	"1364562787"	"3711"	"1388023639"	"3195"	"1128561119"	"2802"	"897085639"	"2501"	"784402856"	"1826"	"545521419"	"1523"	"387832426"	"828"	"145206425"	"731"	"125096690"	"717"	"120763474"	"670"	"95743766"
