"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\AUG-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\AUG-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\AUG-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-AUGFS1-Substation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Substation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-AUGFS1-Substation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Substation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-AUGFS1-Substation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Substation\Accounts Payable"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Substation\Accounts Payable"	"FullControl"	"Allow"	"POWERENG\FS-AUGFS1-Substation-Share-Accounts Payable-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Substation\Accounts Payable"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-AUGFS1-Substation-Share-Accounts Payable-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Substation\Accounts Payable"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-AUGFS1-Substation-Share-Accounts Payable-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Projects"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Projects"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Projects-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Projects"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Projects-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUG-SMB01\Shares$\REPLICATE\Projects"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Projects-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
