"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\AUS-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\AUS-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Admin\Administrative\Secured"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Admin\Administrative\Secured"	"FullControl"	"Allow"	"POWERENG\FS-AUSFS1-Enviro-Share-Secured-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Admin\Administrative\Secured"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-AUSFS1-Enviro-Share-Secured-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Admin\Administrative\Secured"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-AUSFS1-Enviro-Share-Secured-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Cultural Resources\State Resources\TX\PALM_Maps\atlanta-hpalm.zip"	"FullControl"	"Allow"	"POWERENG\dschubert"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Cultural Resources\State Resources\TX\PALM_Maps\paris-hpalm.zip"	"FullControl"	"Allow"	"POWERENG\dschubert"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Cultural Resources\State Resources\TX\Texas File Review Junk\ArcheoProjects_shp.zip"	"FullControl"	"Allow"	"POWERENG\dschubert"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\148880 Entergy Confidential"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\148880 Entergy Confidential"	"FullControl"	"Allow"	"POWERENG\FS-AUSFS1-Enviro-Share-148880-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\148880 Entergy Confidential"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-AUSFS1-Enviro-Share-148880-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\148880 Entergy Confidential"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-AUSFS1-Enviro-Share-148880-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\153183 Western Spirit\PER\02 Environmental\01 Documents\KMZs\ws_rev21_20200218.kmz"	"FullControl"	"Allow"	"POWERENG\schildress"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\153183 Western Spirit\PER\02 Environmental\01 Documents\KMZs\ws_route_row_rev18v1_20200122.kmz"	"FullControl"	"Allow"	"POWERENG\schildress"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\160021 GVEC Delhi\PER\01 Communications\Agency Response\GBRA\GBRA_Carrizo_EDF_TransmissionLine_05102019_v2_reduced.pdf"	"FullControl"	"Allow"	"POWERENG\gmcclanahan"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\160021 GVEC Delhi\PER\01 Communications\Agency Response\GBRA\GBRA_Carrizo_EDF_WellFieldandCollectionLines_05102019_v2_reduced.pdf"	"FullControl"	"Allow"	"POWERENG\gmcclanahan"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\160021 GVEC Delhi\PER\02 Environmental\01 Documents\CCN\Landownership Map and list\OLD\Files.zip"	"FullControl"	"Allow"	"POWERENG\gmcclanahan"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Projects\163549 ENTG Millbend\WSBC\03 Budget\Change Order No. 1\Mill Bend Change Order Request No. 1_06.26.20.docx"	"FullControl"	"Allow"	"POWERENG\gmcclanahan"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Enviro\Proposals\Entergy\Venture Global Plaquemine LNG\2019\From Entergy\VGP - Myrtle Grove-Alliance-Churchill_CL-ROW_07-19-19.kmz"	"FullControl"	"Allow"	"POWERENG\gmcclanahan"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\ADMIN\TLBU 351 ADMIN"	"FullControl"	"Allow"	"POWERENG\jhenry"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\ADMIN\TLBU 351 ADMIN"	"Modify, Synchronize"	"Allow"	"POWERENG\efholer"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\Linden\CITY OF DENTON\Bid_Package-71710.zip"	"FullControl"	"Allow"	"POWERENG\lwelsch"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Pls_Cadd\PROJECTS\151701\Archived\Backup\t271_kunitz - Culberson_pinnacle 138kV cut-in_rev 12_(2020_11-11).bak"	"FullControl"	"Allow"	"POWERENG\rarchuleta"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Pls_Cadd\PROJECTS\151701\Archived\Backup\t271_kunitz - Culberson_pinnacle 138kV cut-in_rev 12_(2020_11-11).bak"	"Read, Synchronize"	"Allow"	"S-1-15-2-3624051433-2125758914-1423191267-1740899205-1073925389-3782572162-737981194"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Pls_Cadd\PROJECTS\151701\Archived\Backup\t271_kunitz - Culberson_pinnacle 138kV cut-in_rev 12_(2020_11-11).bak"	"Read, Synchronize"	"Allow"	"S-1-15-3-3624051433-2125758914-1423191267-1740899205-1073925389-3782572162-737981194"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Pls_Cadd\PROJECTS\156490\Archived\Survey\CT37819.zip"	"FullControl"	"Allow"	"POWERENG\nlaughlin"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Pls_Cadd\PROJECTS\158391\Archived\Cables\T-2_IBIS_ACSR_GA2_GCC.wir"	"FullControl"	"Allow"	"POWERENG\efholer"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Pls_Cadd\PROJECTS\164851\Archived\Backup\Gonzales Drone Project-CDS.bak"	"FullControl"	"Allow"	"POWERENG\zwoodfin"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Pls_Cadd\PROJECTS\LST Interconnect Analysis\Backup\801219t - claytonville 345kv and 138kv lines - final issue.bak"	"FullControl"	"Allow"	"POWERENG\dwall"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Updates\Version 16.00\cdsetup.zip"	"FullControl"	"Allow"	"POWERENG\rarchuleta"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Updates\Version 16.01\cdsetup.zip"	"FullControl"	"Allow"	"POWERENG\rarchuleta"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Updates\Version 16.12\cdsetup.dat"	"FullControl"	"Allow"	"POWERENG\rarchuleta"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Updates\Version 16.12\cdsetup.zip"	"FullControl"	"Allow"	"POWERENG\rarchuleta"	"None"	"None"
"\\?\UNC\AUS-SMB01\Shares$\REPLICATE\Line\pls\Updates\Version 16.20\cdsetup.dat"	"FullControl"	"Allow"	"POWERENG\rarchuleta"	"None"	"None"
