"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\BOS-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\BOS-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\BOS-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Environmental"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Environmental-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Environmental"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Environmental-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-BOSFS1-Environmental-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\line"	"FullControl"	"Allow"	"POWERENG\FS-BOSFS1-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\line\Projects\169159"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\line\Projects\169159"	"FullControl"	"Allow"	"POWERENG\FS-BOSFS1-Line-Share-169159-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\line\Projects\169159"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Line-Share-169159-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\line\Projects\169159"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Line-Share-169159-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-BOSFS1-PD_DistMgmt-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-PD_DistMgmt-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-PD_DistMgmt-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Program_Management"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Program_Management"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Program_Management-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Program_Management"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Program_Management-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Program_Management"	"FullControl"	"Allow"	"POWERENG\FS-BOSFS1-Program_Management-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Program_Management\00 PROJECTS\148934(Confidential)"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Program_Management\00 PROJECTS\148934(Confidential)"	"FullControl"	"Allow"	"POWERENG\FS-BOSFS1-Program_Management-Share-148934-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Program_Management\00 PROJECTS\148934(Confidential)"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Program_Management-Share-148934-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Program_Management\00 PROJECTS\148934(Confidential)"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Program_Management-Share-148934-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Reference-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Reference"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Reference"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-BOSFS1-Substation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Substation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Substation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BOS-SMB01\Shares$\REPLICATE\Substation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BOSFS1-Substation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
