"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\CH3-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\CH3-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\Pub_Inv"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\Pub_Inv"	"FullControl"	"Allow"	"POWERENG\FS-CH3FS1-Pub_Inv-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\Pub_Inv"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CH3FS1-Pub_Inv-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\Pub_Inv"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CH3FS1-Pub_Inv-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-CH3FS1-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CH3FS1-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CH3FS1-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-CH3FS1-PD_DistMgmt-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CH3FS1-PD_DistMgmt-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CH3-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CH3FS1-PD_DistMgmt-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
