"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\CIN-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\CIN-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\CIN-SMB01\Shares$\NONREPLICATE\xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\NONREPLICATE\xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\NONREPLICATE\xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\NONREPLICATE\xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\REPLICATE\ram"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\REPLICATE\ram"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CINFS1-Ram-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\REPLICATE\ram"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CINFS1-Ram-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\REPLICATE\ram"	"FullControl"	"Allow"	"POWERENG\FS-CINFS1-Ram-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\REPLICATE\ram\Missing_Data"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\REPLICATE\ram\Missing_Data"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\cloyd"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CIN-SMB01\Shares$\REPLICATE\ram\Missing_Data"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\tgessner"	"ContainerInherit, ObjectInherit"	"None"
