"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\aplfs1\Facilities"	"22170"	"121566"	"316120431264"	"2603"	"5473564534"	"118963"	"310646866730"	"116326"	"301383690765"	"104352"	"209817862932"	"62151"	"66885910995"	"41034"	"34255067407"	"26984"	"14032599927"	"13612"	"9512764562"	"12291"	"6637143014"	"9871"	"5081035449"	"9140"	"4749870672"
"\\aplfs1\Industrial"	"5"	"1"	"334734"	"1"	"334734"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\aplfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\aplfs1\Xchange"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\arbfs1\Line"	"94254"	"1282898"	"7590344873727"	"14115"	"186427075711"	"1268783"	"7403917798016"	"1241595"	"6989362778914"	"1204833"	"6726416782520"	"1166591"	"6307961754492"	"1092110"	"5739124970196"	"969771"	"4875552311125"	"827134"	"3948054638790"	"697237"	"3275893037203"	"583037"	"2518632287411"	"523338"	"2010974074743"
"\\arbfs1\PD_DistMgmt"	"14422"	"231614"	"902572552810"	"3034"	"29918280197"	"228580"	"872654272613"	"175480"	"568086758474"	"150313"	"436389191700"	"136775"	"400297374338"	"112016"	"270886788997"	"81374"	"173067534985"	"61573"	"126794359957"	"44663"	"56237815911"	"41892"	"51771942747"	"40914"	"50160287897"
"\\arbfs1\SAS"	"6355"	"17571"	"21146031170"	"2"	"32054219"	"17569"	"21113976951"	"17559"	"21100430690"	"16873"	"18149821075"	"16718"	"17433367432"	"16468"	"16736263550"	"15914"	"14897238794"	"12581"	"8855208424"	"11477"	"7162413389"	"7874"	"5647876554"	"7748"	"5580034104"
"\\arbfs1\Shares$"	"5766"	"166328"	"28902834412"	"876"	"4073563901"	"165452"	"24829270511"	"162753"	"17786202638"	"145633"	"11321642807"	"139444"	"9984203810"	"135753"	"7949161818"	"103699"	"7074110966"	"86037"	"5727112700"	"82464"	"5196929148"	"80662"	"4965345246"	"72654"	"4500436291"
"\\arbfs1\Substation"	"58165"	"505152"	"981218650414"	"7578"	"32854268713"	"497574"	"948364381701"	"485641"	"903922368441"	"458778"	"839693224145"	"434052"	"780321211888"	"398156"	"698212512909"	"363449"	"564173713504"	"315935"	"426079034900"	"269750"	"335272297016"	"217913"	"229799023954"	"174742"	"167681359471"
"\\arbfs1\UpdateManager"	"5913"	"175014"	"29546340926"	"4378"	"4710850338"	"170636"	"24835490588"	"167940"	"17692122741"	"150799"	"11449702949"	"140200"	"10010474702"	"136513"	"7985109392"	"103845"	"7088428426"	"86158"	"5734635347"	"82580"	"5205421842"	"80763"	"4973584543"	"72585"	"4489649926"
"\\arbfs1\Xchange"	"10"	"21"	"186048804"	"21"	"186048804"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\at4fs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\at4fs1\UpdateManager"	"5913"	"175014"	"29546340926"	"4378"	"4710850338"	"170636"	"24835490588"	"167940"	"17692122741"	"150799"	"11449702949"	"140200"	"10010474702"	"136513"	"7985109392"	"103845"	"7088428426"	"86158"	"5734635347"	"82580"	"5205421842"	"80763"	"4973584543"	"72585"	"4489649926"
"\\at4fs1\Xchange"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
