"ShareName"	"Owners"
"\\aplfs1\Facilities"	"POWERENG\FS-ALL-Facilities-Share-FC, POWERENG\FS-ALL-Facilities-Share-RW"
"\\aplfs1\Industrial"	"POWERENG\FS-ALL-Industrial-Share-FC, POWERENG\FS-ALL-Industrial-Share-RW"
"\\aplfs1\Shares$"	"Everyone"
"\\aplfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\arbfs1\Line"	"POWERENG\FS-ARBFS1-Line-Share-FC, POWERENG\FS-ARBFS1-Line-Share-RW"
"\\arbfs1\PD_DistMgmt"	"POWERENG\FS-ARBFS1-PD_DistMgmt-Share-FC, POWERENG\FS-ARBFS1-PD_DistMgmt-Share-RW"
"\\arbfs1\SAS"	"POWERENG\FS-ARBFS1-SAS-Share-FC, POWERENG\FS-ARBFS1-SAS-Share-RW"
"\\arbfs1\Shares$"	"Everyone"
"\\arbfs1\Substation"	"POWERENG\FS-ARBFS1-Substation-Share-FC, POWERENG\FS-ARBFS1-Substation-Share-RW"
"\\arbfs1\UpdateManager"	"Everyone"
"\\arbfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\at4fs1\Shares$"	"Everyone"
"\\at4fs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\at4fs1\Xchange"	"Everyone"
"\\ausfs1\Enviro"	"POWERENG\FS-ALL-Environmental-Share-FC, POWERENG\FS-ALL-Environmental-Share-RW"
"\\ausfs1\Line"	"POWERENG\FS-ALL-Line-Share-FC, POWERENG\FS-ALL-Line-Share-RW"
"\\ausfs1\Shares$"	"Everyone"
"\\ausfs1\Substation"	"POWERENG\FS-ALL-Substation-Share-FC, POWERENG\FS-ALL-Substation-Share-RW"
"\\ausfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\bdcdpwfs1\PW"	"Everyone, POWERENG\FS-BDCD-PWFS01-PW-Share-FC, POWERENG\FS-BDCD-PWFS01-PW-Share-RW"
"\\bdcdpwfs1\Shares$"	"Everyone"
"\\bdcdpwfs1\SQL_DB_Backups"	"POWERENG\FS-BDCDFS2-SQL_DB_Backups-Share-FC, POWERENG\FS-BDCDFS2-SQL_DB_Backups-Share-RW"
"\\bdcdpwfs1\Vault_Backup"	"POWERENG\FS-BDCDFS2-Vault_Backup-Share-FC, POWERENG\FS-BDCDFS2-Vault_Backup-Share-RW"
"\\bdcdpwfs1\Vault_Filestore$"	"POWERENG\FS-BDCDFS2-Vault_FileStore$-Share-FC, POWERENG\FS-BDCDFS2-Vault_FileStore$-Share-RW"
"\\ch3fs1\Line"	"POWERENG\FS-CH3FS1-Line-Share-FC, POWERENG\FS-CH3FS1-Line-Share-RW"
"\\ch3fs1\PD_DistMgmt"	"POWERENG\FS-CH3FS1-PD_DistMgmt-Share-FC, POWERENG\FS-CH3FS1-PD_DistMgmt-Share-RW"
"\\ch3fs1\Pub_Inv"	"POWERENG\FS-CH3FS1-Pub_Inv-Share-FC, POWERENG\FS-CH3FS1-Pub_Inv-Share-RW"
"\\ch3fs1\Shares$"	"Everyone"
"\\ch3fs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\ch3fs1\Xchange"	"Everyone"
"\\colfs1\Environmental"	"POWERENG\FS-ALL-Environmental-Share-FC, POWERENG\FS-ALL-Environmental-Share-RW"
"\\colfs1\Line"	"POWERENG\FS-ALL-Line-Share-FC, POWERENG\FS-ALL-Line-Share-RW"
"\\colfs1\PD_DistMgmt"	"POWERENG\FS-ALL-PD_DistMgmt-Share-FC, POWERENG\FS-ALL-PD_DistMgmt-Share-RW"
"\\colfs1\Shares$"	"Everyone"
"\\colfs1\Substation"	"POWERENG\FS-ALL-Substation-Share-FC, POWERENG\FS-ALL-Substation-Share-RW"
"\\colfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\da11fs1\Shares$"	"Everyone"
"\\da11fs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\da11fs1\Xchange"	"Everyone"
"\\ftlfs1\Environmental"	"POWERENG\FS-ALL-Environmental-Share-FC, POWERENG\FS-ALL-Environmental-Share-RW"
"\\ftlfs1\Line"	"POWERENG\FS-ALL-Line-Share-FC, POWERENG\FS-ALL-Line-Share-RW"
"\\ftlfs1\PD_DistMgmt"	"POWERENG\FS-ALL-PD_DistMgmt-Share-FC, POWERENG\FS-ALL-PD_DistMgmt-Share-RW"
"\\ftlfs1\Shares$"	"Everyone"
"\\ftlfs1\Substation"	"POWERENG\FS-ALL-Substation-Share-FC, POWERENG\FS-ALL-Substation-Share-RW"
"\\ftlfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\grbfs1\Backup"	"POWERENG\FS-GRBFS1-Backup-Share-FC, POWERENG\FS-GRBFS1-Backup-Share-RW"
"\\grbfs1\GIS"	"POWERENG\FS-GRBFS1-GIS-Share-FC, POWERENG\FS-GRBFS1-GIS-Share-RW"
"\\grbfs1\Shares$"	"Everyone"
"\\kckfs1\KCK_Office"	"POWERENG\FS-KCKFS1-KCK_Office-Share-FC, POWERENG\FS-KCKFS1-KCK_Office-Share-RW"
"\\kckfs1\Line"	"POWERENG\FS-KCKFS1-Line-Share-FC, POWERENG\FS-KCKFS1-Line-Share-RW"
"\\kckfs1\SAS"	"POWERENG\FS-KCKFS1-SAS-Share-FC, POWERENG\FS-KCKFS1-SAS-Share-RW"
"\\kckfs1\Shares$"	"Everyone"
"\\kckfs1\Substation"	"POWERENG\FS-KCKFS1-Substation-Share-FC, POWERENG\FS-KCKFS1-Substation-Share-RW"
"\\kckfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\labfs1\Shares$"	"Everyone"
"\\labfs1\Test"	"POWERENG\FS-LABFS1-Test-Share-FC, POWERENG\FS-LABFS1-Test-Share-RW"
"\\las04fs1\Shares$"	"Everyone"
"\\las04fs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\las04fs1\Xchange"	"Everyone"
"\\minfs1\Acadstd"	"POWERENG\FS-MINFS1-Acadstd-Share-FC, POWERENG\FS-MINFS1-Acadstd-Share-RW"
"\\minfs1\Facilities"	"POWERENG\FS-MINFS1-Facilities-Share-FC, POWERENG\FS-MINFS1-Facilities-Share-RW"
"\\minfs1\NFD"	"POWERENG\FS-MINFS1-NFD-Share-FC, POWERENG\FS-MINFS1-NFD-Share-RW"
"\\minfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\minfs1\Shares$"	"Everyone"
"\\minfs1\UpdateManager"	"Everyone"
