"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\DDCD-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\DDCD-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\DDCD-SMB01\Shares$\PW"	"FullControl"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\PW"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\PW"	"FullControl"	"Allow"	"POWERENG\FS-BDCD-PWFS01-PW-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\PW"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BDCD-PWFS01-PW-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\PW"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BDCD-PWFS01-PW-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\SQL_DB_Backups"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\SQL_DB_Backups"	"FullControl"	"Allow"	"POWERENG\FS-BDCDFS2-SQL_DB_Backups-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\SQL_DB_Backups"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BDCDFS2-SQL_DB_Backups-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\SQL_DB_Backups"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BDCDFS2-SQL_DB_Backups-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\Vault_Backup"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\Vault_Backup"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BDCDFS2-Vault_Backup-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\Vault_Backup"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BDCDFS2-Vault_Backup-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\Vault_Backup"	"FullControl"	"Allow"	"POWERENG\FS-BDCDFS2-Vault_Backup-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\Vault_FileStore"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\Vault_FileStore"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BDCDFS2-Vault_FileStore$-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\Vault_FileStore"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BDCDFS2-Vault_FileStore$-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DDCD-SMB01\Shares$\Vault_FileStore"	"FullControl"	"Allow"	"POWERENG\FS-BDCDFS2-Vault_FileStore$-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
