"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\FTL-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\FTL-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\FTL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Line\Projects\167318 - Dade - Little River #3\Greenbook Template\20. Survey & ROW\KCI\FPL LITTLE RIVER.dgn"	"FullControl"	"Allow"	"POWERENG\pohlin"	"None"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-ALL-PD_DistMgmt-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-PD_DistMgmt-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-PD_DistMgmt-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Substation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Substation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Substation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Substation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Substation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Environmental"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTL-SMB01\Shares$\REPLICATE\Environmental"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
