"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\HAM-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\HAM-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\HAM-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Facilities"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Facilities"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-HAMFS1-Facilities-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Facilities"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-HAMFS1-Facilities-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Facilities"	"FullControl"	"Allow"	"POWERENG\FS-HAMFS1-Facilities-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-HAMFS1-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-HAMFS1-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-HAMFS1-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Line\zUsers\bbailey\backup\HAM31894LT\Desktop.ini"	"FullControl"	"Allow"	"CREATOR OWNER"	"None"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Line\zUsers\bbailey\backup\HAM31894LT\Desktop.ini"	"Read, Synchronize"	"Allow"	"NT AUTHORITY\Authenticated Users"	"None"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Line\zUsers\bbailey\backup\HAM31894LT\Desktop.ini"	"FullControl"	"Allow"	"NT AUTHORITY\SYSTEM"	"None"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Line\zUsers\bbailey\backup\HAM31894LT\Desktop.ini"	"FullControl"	"Allow"	"BUILTIN\Administrators"	"None"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Projects"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Projects"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Projects-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Projects"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Projects-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Projects"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Projects-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\SAS"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\SAS"	"FullControl"	"Allow"	"POWERENG\FS-HAMFS1-SAS-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\SAS"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-HAMFS1-SAS-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\SAS"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-HAMFS1-SAS-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HAM-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
