"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\HOU-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\HOU-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\NONREPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\NONREPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-HOUFS1-Substation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-HOUFS1-Substation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-HOUFS1-Substation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Procurement_Group"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Procurement_Group"	"FullControl"	"Allow"	"POWERENG\FS-HOUFS1-Substation-Share-Procurement_Group-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Procurement_Group"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-HOUFS1-Substation-Share-Procurement_Group-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Procurement_Group"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-HOUFS1-Substation-Share-Procurement_Group-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 CLIENT INFO\Xcel Energy\Reports\CMO Reports\2021\20210303 CMO WBS Substation Material Report.msg"	"FullControl"	"Allow"	"POWERENG\FS-HOUFS1-Substation-Share-RO"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\a_choice_to_make_500_clr_14243.gif"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\a_choice_to_make_500_wht_14243.gif"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\computer_files_transfer_500_clr_9918.gif"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\computer_files_transfer_500_clr_9918.gif.e9qkz7o.partial"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\dollar_chain_link_1600_clr_12971.png"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\figure_grab_cube_stand_out_1600_clr_18476.png"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\gps_phone_directions_500_clr_18356.gif"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\inputs_tool_kit_22629.pptx"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\moblie_shopping_1600_clr_8799.png"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\0 PROCUREMENT GROUP\00 TEMPLATES AND CHECKLISTS\POWERPOINT TEMPLATES\stick_figure_binoculars_look_up_500_clr_22627.gif"	"FullControl"	"Allow"	"POWERENG\mzehentner"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\149242 ACTIVE\EMAT\03_02 Southern States 345kV Switches_09-16-19\Final Drawings\Job325376DownloadFolder.zip"	"FullControl"	"Allow"	"POWERENG\fjones"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\XCEL - Smoky Hill DFR Add\Field Redlines\Smoky Hill Field Redlines.zip"	"FullControl"	"Allow"	"POWERENG\mdelacruz"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\E242867_S007.pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\Harwood 242867 sh7.pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\Span 116.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\SPan 2036 to 230 yard.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\Span 2095.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\Span 3100.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\Span 3807.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\Span 8.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\Span 800 to 500 yard.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\WESC 500 242867 sh7.pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\Fiber Coordination\Taper Reports\18-09-18_500kV Yard Taper Reports\WESC Fiber LE85163_S001 (3).pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
"\\?\UNC\HOU-SMB01\Shares$\REPLICATE\Substation\Projects\144176\SECURED\DD\DES\01 Design Doc\PRISM Design\RFI\POWER\RFI 45\Resolution\2018-09-14\E241237_S001_markup.pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-44534"	"None"	"None"
