"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\MIN-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\MIN-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\MIN-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\NONREPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\NONREPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\NFD"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\NFD"	"FullControl"	"Allow"	"POWERENG\FS-MINFS1-NFD-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\NFD"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MINFS1-NFD-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\NFD"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MINFS1-NFD-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Acadstd"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Acadstd"	"FullControl"	"Allow"	"POWERENG\FS-MINFS1-Acadstd-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Acadstd"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MINFS1-Acadstd-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Acadstd"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MINFS1-Acadstd-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Facilities"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Facilities"	"FullControl"	"Allow"	"POWERENG\FS-MINFS1-Facilities-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Facilities"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MINFS1-Facilities-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Facilities"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MINFS1-Facilities-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Facilities\Electrical_BAB\Temp\OSF\2020-0714 Downloads from Exelon\OSF PMPI Acceptance Meeting 111919.msg"	"FullControl"	"Allow"	"POWERENG\bbrodsho"	"None"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Facilities\Electrical_BAB\Temp\OSF\2020-0714 Downloads from Exelon\PECO Office and Support Facilities Security Enhancements PMPI PID.xlsx"	"FullControl"	"Allow"	"POWERENG\bbrodsho"	"None"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Facilities\Electrical_BAB\Temp\OSF\2020-0714 Downloads from Exelon\PECO OSF and PECO Projects Timeline.xlsx"	"FullControl"	"Allow"	"POWERENG\bbrodsho"	"None"	"None"
"\\?\UNC\MIN-SMB01\Shares$\REPLICATE\Facilities\Electrical_BAB\Temp\OSF\2020-0714 Downloads from Exelon\Project Management PECO Office and Support Facilities Security Enhancements Program 2.7.20.xlsx"	"FullControl"	"Allow"	"POWERENG\bbrodsho"	"None"	"None"
