"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\MKE-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE"	"FullControl"	"Allow"	"POWERENG\FS-MKEFS1-GIS-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MKEFS1-GIS-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MKEFS1-GIS-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS"	"FullControl"	"Allow"	"POWERENG\FS-MKEFS1-GIS-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MKEFS1-GIS-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MKEFS1-GIS-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\pipeline\(TBD) Marquam Substation Construction Inspection Services.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(128143) R-Project 345 kV POWER360.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(132155) PSE Eastside 230kV POWER360 Implementation.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(137865) Minnesota Power Greater Northern Transmission Line (GNTL).csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(140344) APS - Sun Valley to Morgan.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(141538) SCE North of Magunden (NOM).csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(142641) Duke GIS - OMS Development.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(143211) SDG&E-Cleveland National Forest.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(143767) Boise Airport Update to Master Plan (Ricondo).csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(143910) Enterprise Web Initiative.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(144666) SCE West of Devers (WOD).csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(145383) Puget Sound Energy Distribution - AMI.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(146582,146586,146588,146593,146594,146595) National Grid SEMA-RI move to 2.0.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(147986) The City of Rock Island.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(148207) PSE Lake Hills - Phantom Lake RAM Expansion Pilot.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(Multiple Numbers) Mid-Kansas Harper-Milan 138kV CM.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\project tasks\(TBD) NAVFAC PAC IDIQ.csv"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(124186) Gateway South 2017 (EGS).zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(128143) R-Project 345 kV POWER360.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(131832) ITC MVP.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(132155) PSE Eastside 230kV POWER360 Implementation.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(137865) Minnesota Power Greater Northern Transmission Line (GNTL).zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(138652) 2018 Ameren NERC (J02FZ) BLWN-PRST-4538-2017 PGM SUPORT.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(138657) 2017 Ameren NERC (J05BR) GBCS-PAXE-1-2017 PGM SUPPORT.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(138659) 2017 Ameren NERC 138659 - HENN-6101-2017 PGM SUPPORT.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(138667) 2017 Ameren NERC R-TYSN&R-JOCM-2016 PGM SUPPORT.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(138668) 2017 Ameren NERC  TAZW-CAT2-1375-2016 PGM SUPP.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(138673) 2018 Ameren NERC (J02G0) BLWN-PRST-4548-2017 PGM SUPP.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(140344) APS - Sun Valley to Morgan.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(140541) 2016 Ameren NERC (J02GH)  JCKI-MERE-1612-2016 PGM SUPP.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(141538) SCE North of Magunden (NOM).zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(142597) 2017 Ameren NERC PGM 2017-TL05-C-V.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(142600) 2019 INTG PGM CM 2018-TL9-RISN-OREA.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
"\\?\UNC\MKE-SMB01\Shares$\REPLICATE\GIS\Projects\Liquid Planner Downloads\Project zips\Active\(142641) Duke GIS - OMS Development.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-21664"	"None"	"None"
