"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\MSN-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\MSN-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\MSN-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared"	"FullControl"	"Allow"	"POWERENG\FS-MSNFS1-FAC_Shared-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MSNFS1-FAC_Shared-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MSNFS1-FAC_Shared-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared\Technology Manager"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-1988"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared\Technology Manager"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-6741"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared\Technology Manager"	"Modify, Synchronize"	"Allow"	"POWERENG\dkrancer"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared\Technology Manager"	"Modify, Synchronize"	"Allow"	"POWERENG\sbigham"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared\Technology Manager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\FAC_Shared\Technology Manager"	"Modify, Synchronize"	"Allow"	"POWERENG\chammer"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Reference-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\Reference"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\Reference"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\Standards"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\Standards"	"FullControl"	"Allow"	"POWERENG\FS-MSNFS1-Standards-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\Standards"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MSNFS1-Standards-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MSN-SMB01\Shares$\REPLICATE\Standards"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MSNFS1-Standards-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
