"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\OPK-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\OPK-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\NONREPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\NONREPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-OPKFS1-Projects-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-OPKFS1-Projects-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects"	"FullControl"	"Allow"	"POWERENG\FS-OPKFS1-Projects-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\153879 ISU CTRL Rm Addn (closed)\Drawings\POWER\Arch\72quot_LCD_TV_WALL_MOUNTED_12431.rfa"	"FullControl"	"Allow"	"POWERENG\colson"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\20190522\ELEC.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\20190522\TSE.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\CIVIL.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\ELEC.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\HAZ.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\MECH.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\STRUC-1-16.0.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\STRUC.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\STRUC_CA Files.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\STRUC_Reviewed for Code Compliance.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\Submittal Progress Downloads\WORKER SAFETY.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\VOID\MECH.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
"\\?\UNC\OPK-SMB01\Shares$\REPLICATE\Projects\149368_SERC - Closed\Design\SE\DCBO\VOID\WORKER SAFETY.zip"	"FullControl"	"Allow"	"POWERENG\jheaney"	"None"	"None"
