"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\opkfs1\Controls"	"132"	"2631"	"1077363844"	"0"	"0"	"2631"	"1077363844"	"2631"	"1077363844"	"2631"	"1077363844"	"2631"	"1077363844"	"2631"	"1077363844"	"2631"	"1077363844"	"1868"	"505364610"	"1847"	"260227752"	"31"	"55414272"	"29"	"15753980"
"\\opkfs1\Facilities"	"7"	"7"	"14187"	"0"	"0"	"7"	"14187"	"7"	"14187"	"7"	"14187"	"1"	"2041"	"1"	"2041"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\opkfs1\Generation"	"1096"	"15289"	"30328706568"	"1210"	"1001269802"	"14079"	"29327436766"	"12612"	"27797518973"	"11125"	"26870776043"	"8877"	"9323640270"	"7373"	"8168924615"	"6882"	"6235697766"	"6246"	"5682984614"	"5387"	"3941319926"	"4948"	"3501630087"	"4524"	"2652112289"
"\\opkfs1\Line"	"736"	"185897"	"78237379092"	"9"	"2065779"	"185888"	"78235313313"	"185883"	"78235201006"	"185845"	"78233646314"	"185840"	"78233540618"	"134120"	"65281677637"	"4069"	"5248877843"	"1132"	"394923629"	"360"	"80071681"	"348"	"38058704"	"161"	"37868010"
"\\opkfs1\PD_DistMgmt"	"5169"	"75650"	"248090796654"	"6635"	"33128047914"	"69015"	"214962748740"	"61476"	"197871286754"	"58644"	"182092507628"	"46043"	"153259768132"	"31840"	"107666534301"	"19281"	"36281888372"	"15584"	"30128973573"	"13330"	"24809278218"	"10822"	"23818853021"	"10470"	"23072275656"
"\\opkfs1\PD_PM"	"508"	"3953"	"14240532117"	"519"	"715451011"	"3434"	"13525081106"	"3058"	"12997697907"	"2237"	"9002719494"	"1581"	"6731863867"	"1026"	"4698399263"	"244"	"759260986"	"81"	"341144091"	"22"	"78026468"	"14"	"46761962"	"9"	"38864559"
"\\opkfs1\Procurement"	"28"	"3242"	"1843183376"	"602"	"109738451"	"2640"	"1733444925"	"1636"	"1591665133"	"482"	"1178432742"	"316"	"890284207"	"200"	"500653602"	"83"	"219433371"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\opkfs1\Projects"	"127449"	"1353438"	"2656280668576"	"89326"	"282313001817"	"1264112"	"2373967666759"	"1110948"	"1710882400132"	"986957"	"1427767727298"	"877757"	"829869475066"	"734272"	"570544233520"	"543376"	"305322877512"	"365229"	"119023038240"	"254460"	"102612019293"	"143287"	"87780188757"	"127126"	"59076614244"
"\\opkfs1\PTE"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\opkfs1\Reference"	"33"	"2304"	"175941593367"	"0"	"0"	"2304"	"175941593367"	"2304"	"175941593367"	"2304"	"175941593367"	"2304"	"175941593367"	"1199"	"37770652130"	"11"	"452818848"	"11"	"452818848"	"11"	"452818848"	"0"	"0"	"0"	"0"
"\\opkfs1\SAS"	"574"	"5163"	"14534090726"	"120"	"93953221"	"5043"	"14440137505"	"4967"	"14100298192"	"4255"	"13631043018"	"4239"	"13593344210"	"3820"	"12657783525"	"3730"	"12515593863"	"3593"	"12438991783"	"3219"	"9910550724"	"3153"	"9895293258"	"1035"	"3395869851"
"\\opkfs1\Sega_Archive"	"747143"	"9440776"	"7968406026533"	"1955"	"4185334581"	"9438821"	"7964220691952"	"9437129"	"7957854382509"	"9434644"	"7953389939682"	"9422163"	"7943998680681"	"9415043"	"7936033063269"	"9394080"	"7861417876114"	"9294912"	"7584851588174"	"8809481"	"6694675440386"	"8073871"	"5627900701747"	"7144406"	"4327841167430"
"\\opkfs1\Shares$"	"14033"	"673731"	"155113602165"	"876"	"4073563901"	"672855"	"151040038264"	"669392"	"143882741102"	"652156"	"137401969554"	"630073"	"131902256737"	"538926"	"109594113940"	"428789"	"81102677808"	"326370"	"48699280695"	"261065"	"31430783340"	"223084"	"22315531095"	"158599"	"12841081313"
"\\opkfs1\Substation"	"15800"	"190840"	"307160730520"	"38104"	"89834094311"	"152736"	"217326636209"	"124200"	"178127818627"	"109110"	"154000111285"	"87181"	"117469804798"	"65749"	"73526799911"	"43689"	"46965073495"	"32119"	"21398510038"	"24486"	"15055011093"	"20037"	"11518496980"	"17499"	"10317868056"
"\\opkfs1\UpdateManager"	"5913"	"175014"	"29546340926"	"4378"	"4710850338"	"170636"	"24835490588"	"167940"	"17692122741"	"150799"	"11449702949"	"140200"	"10010474702"	"136513"	"7985109392"	"103845"	"7088428426"	"86158"	"5734635347"	"82580"	"5205421842"	"80763"	"4973584543"	"72585"	"4489649926"
"\\opkfs1\Xchange"	"43"	"136"	"2718147457"	"125"	"2623867713"	"11"	"94279744"	"9"	"91648828"	"5"	"55036969"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
