"ShareName"	"Owners"
"\\opkfs1\Controls"	"POWERENG\FS-OPKFS1-Controls-Share-FC, POWERENG\FS-OPKFS1-Controls-Share-RW"
"\\opkfs1\Facilities"	"POWERENG\FS-ALL-Facilities-Share-FC, POWERENG\FS-ALL-Facilities-Share-RW"
"\\opkfs1\Generation"	"POWERENG\FS-OPKFS1-Generation-Share-FC, POWERENG\FS-OPKFS1-Generation-Share-RW"
"\\opkfs1\Line"	"POWERENG\FS-OPKFS1-Line-Share-FC, POWERENG\FS-OPKFS1-Line-Share-RW"
"\\opkfs1\PD_DistMgmt"	"POWERENG\FS-OPKFS1-PD_DistMgmt-Share-FC, POWERENG\FS-OPKFS1-PD_DistMgmt-Share-RW"
"\\opkfs1\PD_PM"	"POWERENG\FS-OPKFS1-PD_PM-Share-FC, POWERENG\FS-OPKFS1-PD_PM-Share-RW"
"\\opkfs1\Procurement"	"POWERENG\FS-OPKFS1-Procurement-Share-FC, POWERENG\FS-OPKFS1-Procurement-Share-RW"
"\\opkfs1\Projects"	"POWERENG\FS-OPKFS1-Projects-Share-FC, POWERENG\FS-OPKFS1-Projects-Share-RW"
"\\opkfs1\PTE"	"POWERENG\FS-OPKFS1-PTE-Share-FC, POWERENG\FS-OPKFS1-PTE-Share-RW"
"\\opkfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\opkfs1\SAS"	"POWERENG\FS-OPKFS1-SAS-Share-FC, POWERENG\FS-OPKFS1-SAS-Share-RW"
"\\opkfs1\Sega_Archive"	"POWERENG\FS-OPKFS1-Sega_Archive-Share-FC, POWERENG\FS-OPKFS1-Sega_Archive-Share-RW"
"\\opkfs1\Shares$"	"Everyone"
"\\opkfs1\Substation"	"POWERENG\FS-OPKFS1-Substation-Share-FC, POWERENG\FS-OPKFS1-Substation-Share-RW"
"\\opkfs1\UpdateManager"	"Everyone"
"\\opkfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
