"ShareName"	"Owners"
"\\orlfs1\Line"	"POWERENG\FS-ORLFS1-Line-Share-FC, POWERENG\FS-ORLFS1-Line-Share-RW"
"\\orlfs1\PCI"	"POWERENG\FS-ORLFS1-PCI-Share-FC, POWERENG\FS-ORLFS1-PCI-Share-RW"
"\\orlfs1\PD_DistMgmt"	"POWERENG\FS-ORLFS1-PD_DistMgmt-Share-FC, POWERENG\FS-ORLFS1-PD_DistMgmt-Share-RW"
"\\orlfs1\RAM_120"	"POWERENG\FS-ORLFS1-RAM_120-Share-FC, POWERENG\FS-ORLFS1-RAM_120-Share-RW"
"\\orlfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\orlfs1\SAS"	"POWERENG\FS-ORLFS1-SAS-Share-FC, POWERENG\FS-ORLFS1-SAS-Share-RW"
"\\orlfs1\Shares$"	"Everyone"
"\\orlfs1\Substation"	"POWERENG\FS-ORLFS1-Substation-Share-FC, POWERENG\FS-ORLFS1-Substation-Share-RW"
"\\orlfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\orlfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
