"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\SAC-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\SAC-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-SACFS1-PCI-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-SACFS1-PCI-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI"	"FullControl"	"Allow"	"POWERENG\FS-SACFS1-PCI-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI\1_Projects\02 Projects - Closed\01_Sunflower Closed Projects\152891 Harper Sub - Rago Bypass\SUB\RFP's\Harper Substation-Rago Bypass Installation\Draft RFP Documents\2018-08-30_Rago Bypass IFB_IFC Package.zip"	"FullControl"	"Allow"	"POWERENG\rlinzbach"	"None"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI\1_Projects\02 Projects - Closed\01_Sunflower Closed Projects\153691 Twin Springs EPC\SUB - Rich\RFP's\Substation Construction\Draft RFP Documents\Drawings\1. Sunflower Electric - Twin Springs Drawing list_xlsx_aspx.mht"	"ReadAndExecute, Synchronize"	"Allow"	"S-1-15-3-4096"	"None"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI\PMA\Pam"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-24764"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI\PMA\Pam"	"Modify, Synchronize"	"Allow"	"POWERENG\jgoree"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI\PMA\Pam"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI\zUsers\awatson\zAdmin\Watson\Fidelity\Fidelity Investment Strategy 2.pdf"	"FullControl"	"Allow"	"POWERENG\awatson"	"None"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\PCI\zUsers\awatson\zAdmin\Watson\Fidelity\Fidelity Investment Strategy.pdf"	"FullControl"	"Allow"	"POWERENG\awatson"	"None"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\field_info"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\field_info"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-SACFS1-Field_info-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\field_info"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-SACFS1-Field_info-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAC-SMB01\Shares$\REPLICATE\field_info"	"FullControl"	"Allow"	"POWERENG\FS-SACFS1-Field_info-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
