"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\SAT-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE"	"FullControl"	"Allow"	"POWERENG\FS-SATFS1-SAT-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-SATFS1-SAT-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-SATFS1-SAT-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\Alexis\CPS PROJECTS\Filed_3215 N Panam EXPY_#WR40328022\STUDIES&REPORTS\BlockmapReport.zip"	"FullControl"	"Allow"	"POWERENG\ahart"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\Alexis\CPS PROJECTS\Filed_Apache_157729.12\STUDIES&REPORTS\BlockmapReport.zip"	"FullControl"	"Allow"	"POWERENG\ahart"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\Enguember\TNMP\aa_Projects- 2019\04_April--4_9\WR#146093-130-La Quinta Suites\C2.1.pdf"	"FullControl"	"Allow"	"POWERENG\emaradiaga"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\Enguember\TNMP\aa_Projects- 2019\04_April--4_9\WR#146093-130-La Quinta Suites\C3.1.pdf"	"FullControl"	"Allow"	"POWERENG\emaradiaga"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\Enguember\TNMP\aa_Projects- 2019\04_April--4_9\WR#146093-130-La Quinta Suites\Fort Stockton Architectural.pdf"	"FullControl"	"Allow"	"POWERENG\emaradiaga"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\Enguember\TNMP\aa_Projects- 2019\04_April--4_9\WR#146093-130-La Quinta Suites\Fort Stockton Electrical.pdf"	"FullControl"	"Allow"	"POWERENG\emaradiaga"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\Enguember\TNMP\aa_Projects- 2019\09_September--09_19\Bear Energy Services LLC\166571 Bear Energy Services LLC_RevA.pdf"	"FullControl"	"Allow"	"POWERENG\tjackins"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\John\IKE\Files.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-55722"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\John\IKE\Files_2.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-55722"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\Users\Scott\1082.pdf"	"FullControl"	"Allow"	"POWERENG\shardison"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\zSAT_PROJECTS\AEP\AEP - East\AEP - APCO\AEP - OHIO 2020\NEW LIBERTY CENTER\PHOTOS ZIPPED\notes4Photo.zip"	"FullControl"	"Allow"	"POWERENG\bpicasso"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\zSAT_PROJECTS\PNM\HOW TO'S\ArcFM\ARCFM Design Southern.mp4"	"FullControl"	"Allow"	"POWERENG\rcamachorojas"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\zSAT_PROJECTS\PNM\HOW TO'S\HOW TO Videos\Budgets Training.mp4"	"FullControl"	"Allow"	"POWERENG\rmazurek"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\zSAT_PROJECTS\PNM\HOW TO'S\HOW TO Videos\PNM Work Location & Printing CU's.mp4"	"FullControl"	"Allow"	"POWERENG\rcamachorojas"	"None"	"None"
"\\?\UNC\SAT-SMB01\Shares$\REPLICATE\zSAT_PROJECTS\PNM\HOW TO'S\MAXIMO\Maximo Job Creation-Southern.mp4"	"FullControl"	"Allow"	"POWERENG\rcamachorojas"	"None"	"None"
