"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\stlfs1\BD"	"5794"	"58043"	"110024285839"	"1076"	"18736357062"	"56967"	"91287928777"	"55612"	"87099573504"	"53036"	"84859185338"	"50608"	"82041861320"	"47458"	"78076061045"	"44401"	"73892070725"	"41194"	"68164786283"	"37091"	"62113230893"	"31243"	"55119338373"	"25295"	"38054911415"
"\\stlfs1\CAD"	"694"	"14241"	"6741578653"	"2"	"22818"	"14239"	"6741555835"	"14237"	"6741510567"	"14236"	"6741445031"	"14232"	"6740289197"	"14222"	"6738470870"	"14209"	"6738171778"	"14185"	"6736708528"	"14165"	"6729414016"	"14102"	"6129244218"	"14079"	"6016975092"
"\\stlfs1\Facilities"	"527"	"3003"	"3978008036"	"0"	"0"	"3003"	"3978008036"	"3003"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"2191"	"2094395489"
"\\stlfs1\ITops"	"228"	"56181"	"4890669502"	"0"	"0"	"56181"	"4890669502"	"56180"	"4889610686"	"53171"	"4623777161"	"1647"	"4144397966"	"715"	"2159271874"	"416"	"1284236716"	"414"	"1120904063"	"414"	"1120904063"	"414"	"1120904063"	"413"	"1118350719"
"\\stlfs1\Lidar"	"18050"	"441635"	"7333697286273"	"21213"	"312620596827"	"420422"	"7021076689446"	"414074"	"6874062404688"	"407132"	"6643046805490"	"366048"	"5773434215698"	"268786"	"4172902961965"	"225436"	"3496223219076"	"190037"	"3185815410244"	"166416"	"2941677703588"	"125771"	"2725296402025"	"99163"	"2600374540603"
"\\stlfs1\Line"	"213467"	"3992441"	"21509047505254"	"109225"	"852407192569"	"3883216"	"20656640312685"	"3746726"	"19344634086617"	"3395237"	"18185228868864"	"3143631"	"16973889011680"	"2815802"	"14094116374080"	"2464206"	"10296517485556"	"2125903"	"8636729051238"	"1848157"	"6953681333594"	"1588899"	"5350032723790"	"1388312"	"4398330107867"
"\\stlfs1\PD_DistMgmt"	"11469"	"68608"	"188422824221"	"734"	"2467569722"	"67874"	"185955254499"	"67498"	"175318204189"	"66149"	"170309941433"	"61091"	"159117090702"	"55634"	"142076139929"	"42412"	"111351240198"	"32480"	"91405402906"	"19702"	"68914605063"	"16706"	"59282665163"	"15619"	"57292875978"
"\\stlfs1\Shares$"	"5798"	"166390"	"33295437739"	"877"	"5060303640"	"165513"	"28235134099"	"162753"	"17786202638"	"145633"	"11321642807"	"139444"	"9984203810"	"135753"	"7949161818"	"103699"	"7074110966"	"86037"	"5727112700"	"82464"	"5196929148"	"80662"	"4965345246"	"72654"	"4500436291"
"\\stlfs1\Substation"	"111117"	"1519620"	"2884535025176"	"260917"	"445707632754"	"1258703"	"2438827392422"	"1081698"	"2031100811233"	"966177"	"1766237531591"	"862860"	"1535588014764"	"772569"	"1320614362220"	"669761"	"1103216000267"	"597584"	"1036151587963"	"409385"	"627087362610"	"295378"	"260457811886"	"239964"	"157425115395"
"\\stlfs1\TDmgmt"	"3589"	"47970"	"52811916711"	"704"	"731883624"	"47266"	"52080033087"	"45458"	"49644169804"	"45241"	"49390056935"	"45166"	"49351466520"	"45107"	"49218661512"	"44949"	"49098210621"	"44767"	"48902449922"	"44264"	"48575344655"	"43512"	"42631789232"	"42961"	"41669622462"
"\\stlfs1\UpdateManager"	"5913"	"175014"	"29546340926"	"4378"	"4710850338"	"170636"	"24835490588"	"167940"	"17692122741"	"150799"	"11449702949"	"140200"	"10010474702"	"136513"	"7985109392"	"103845"	"7088428426"	"86158"	"5734635347"	"82580"	"5205421842"	"80763"	"4973584543"	"72585"	"4489649926"
"\\stlfs1\Xchange"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
