"ShareName"	"Owners"
"\\stlfs1\BD"	"POWERENG\FS-STLFS1-BD-Share-FC, POWERENG\FS-STLFS1-BD-Share-RW"
"\\stlfs1\CAD"	"POWERENG\FS-STLFS1-CAD-Share-FC, POWERENG\FS-STLFS1-CAD-Share-RW"
"\\stlfs1\Facilities"	"POWERENG\FS-STLFS1-Facilities-Share-FC, POWERENG\FS-STLFS1-Facilities-Share-RW"
"\\stlfs1\ITops"	"POWERENG\FS-STLFS1-ITops-Share-FC, POWERENG\FS-STLFS1-ITops-Share-RW"
"\\stlfs1\Lidar"	"POWERENG\FS-ALL-Lidar-Share-FC, POWERENG\FS-ALL-Lidar-Share-RW"
"\\stlfs1\Line"	"POWERENG\FS-STLFS1-Line-Share-FC, POWERENG\FS-STLFS1-Line-Share-RW"
"\\stlfs1\PD_DistMgmt"	"POWERENG\FS-STLFS1-PD_DistMgmt-Share-FC, POWERENG\FS-STLFS1-PD_DistMgmt-Share-RW"
"\\stlfs1\Shares$"	"Everyone"
"\\stlfs1\Substation"	"POWERENG\FS-STLFS1-Substation-Share-FC, POWERENG\FS-STLFS1-Substation-Share-RW"
"\\stlfs1\TDmgmt"	"POWERENG\FS-STLFS1-TDmgmt-Share-FC, POWERENG\FS-STLFS1-TDmgmt-Share-RW"
"\\stlfs1\UpdateManager"	"Everyone"
"\\stlfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
