"ShareName"	"Owners"
"\\cdcfs1\Attachment_Archive$"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-FC, POWERENG\FS-CDCFS1-Attachment_Archive$-Share-RW"
"\\cdcfs1\Automation"	"POWERENG\FS-CDCFS1-Automation-Share-FC, POWERENG\FS-CDCFS1-Automation-Share-RW"
"\\cdcfs1\Azure_Data_Factory"	"POWERENG\FS-CDCFS1-Azure_Data_Factory-Share-FC, POWERENG\FS-CDCFS1-Azure_Data_Factory-Share-RW"
"\\cdcfs1\BAL"	"POWERENG\FS-CDCFS1-BAL-Share-FC, POWERENG\FS-CDCFS1-BAL-Share-RW"
"\\cdcfs1\ConEst"	"POWERENG\FS-CDCFS1-ConEst-Share-FC, POWERENG\FS-CDCFS1-ConEst-Share-RW"
"\\cdcfs1\Discovery"	"POWERENG\FS-CDCFS1-Discovery-Share-FC, POWERENG\FS-CDCFS1-Discovery-Share-RW"
"\\cdcfs1\Enviro_Service"	"POWERENG\FS-CDCFS1-Enviro_Services-Share-FC, POWERENG\FS-CDCFS1-Enviro_Services-Share-RW"
"\\cdcfs1\Facilities"	"POWERENG\FS-ALL-Facilities-Share-FC, POWERENG\FS-ALL-Facilities-Share-RW"
"\\cdcfs1\Facilities_Scans"	"POWERENG\FS-CDCFS1-Facilities_Scans-Share-FC, POWERENG\FS-CDCFS1-Facilities_Scans-Share-RW"
"\\cdcfs1\HST"	"POWERENG\FS-CDCFS1-HST-Share-FC, POWERENG\FS-CDCFS1-HST-Share-RW"
"\\cdcfs1\Projects"	"POWERENG\FS-ALL-Projects-Share-FC, POWERENG\FS-ALL-Projects-Share-RW"
"\\cdcfs1\PW"	"POWERENG\FS-CDCFS1-PW-Share-FC, POWERENG\FS-CDCFS1-PW-Share-RW"
"\\cdcfs1\PW_Active_01$"	"POWERENG\FS-CDCFS1-PW-Share-FC, POWERENG\FS-CDCFS1-PW-Share-RW"
"\\cdcfs1\PW_Active_02$"	"POWERENG\FS-CDCFS1-PW-Share-FC, POWERENG\FS-CDCFS1-PW-Share-RW"
"\\cdcfs1\PW_Active_03$"	"POWERENG\FS-CDCFS1-PW-Share-FC, POWERENG\FS-CDCFS1-PW-Share-RW"
"\\cdcfs1\PW_Active_04$"	"POWERENG\FS-CDCFS1-PW-Share-FC, POWERENG\FS-CDCFS1-PW-Share-RW"
"\\cdcfs1\Shares$"	"Everyone"
