"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\CDC-SVMAFS01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Accounts Payable"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Accounts Payable"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-AP-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Accounts Payable"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-AP-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Accounts Payable"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-AP-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Accounts Receivable"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Accounts Receivable"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-AR-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Accounts Receivable"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-AR-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Accounts Receivable"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-AR-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Expenses"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Expenses"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-Expenses-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Expenses"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-Expenses-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Expenses"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-Expenses-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Fixed Assets"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Fixed Assets"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-FA-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Fixed Assets"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-FA-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Fixed Assets"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-FA-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\General Ledger"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\General Ledger"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-GL-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\General Ledger"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-GL-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\General Ledger"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-GL-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\MAJournal"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\MAJournal"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-MAJ-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\MAJournal"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-MAJ-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\MAJournal"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-MAJ-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Projects"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Projects"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-Projects-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Projects"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-Projects-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Projects"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-Projects-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Purchase Orders"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Purchase Orders"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-PO-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Purchase Orders"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-PO-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Purchase Orders"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-PO-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Requisitions"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Requisitions"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-REQ-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Requisitions"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-REQ-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Requisitions"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-REQ-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Vendor Maintenance"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Vendor Maintenance"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-VM-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Vendor Maintenance"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-VM-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Attachment_Archive\ERP_Files\Vendor Maintenance"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Attachment_Archive$-Share-VM-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Automation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Automation"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Automation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Automation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Automation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Automation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Automation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-Azure_Data_Factory-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Azure_Data_Factory-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-Azure_Data_Factory-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Axiom"	"Write, ReadAndExecute, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-112231"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Axiom\New"	"Write, ReadAndExecute, Synchronize"	"Allow"	"POWERENG\kcloninger"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Axiom\New"	"Write, ReadAndExecute, Synchronize"	"Allow"	"POWERENG\mshanley"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Axiom\New"	"Write, ReadAndExecute, Synchronize"	"Allow"	"POWERENG\mfriedman"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Axiom\New"	"Write, ReadAndExecute, Synchronize"	"Allow"	"POWERENG\lmeyer"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Axiom\New"	"Write, ReadAndExecute, Synchronize"	"Allow"	"POWERENG\mslater"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\MSLicensing"	"Write, ReadAndExecute, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-112231"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Supply_Equipment_Orders"	"FullControl"	"Allow"	"POWERENG\jmoorefield"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Supply_Equipment_Orders"	"FullControl"	"Allow"	"POWERENG\esteiginga"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Supply_Equipment_Orders"	"Write, ReadAndExecute, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-112231"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\DA_Data"	"Write, ReadAndExecute, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-112231"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\DA_Data\New"	"Write, ReadAndExecute, Synchronize"	"Allow"	"POWERENG\SRVCDAStatsCollector"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Test\Supply_Equipment_Orders"	"FullControl"	"Allow"	"POWERENG\jmoorefield"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\Azure_Data_Factory\Test\Supply_Equipment_Orders"	"FullControl"	"Allow"	"POWERENG\esteiginga"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\BAL"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\BAL"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-BAL-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\BAL"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-BAL-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\BAL"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-BAL-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\BAL\Mid-Atlantic_Resources\Baltimore Scrap Corp\CLOSED - 163173 BSC 2020 ENV Compliance\Old Fairfield NEC Renewal\1 Ref Docs\GridViewExport_3_3_2020 1_08_39 PM.xls"	"FullControl"	"Allow"	"POWERENG\tdillow"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\BAL\Mid-Atlantic_Resources\Bitumar USA\162159, Bitumar 2019 Reporting Support\4 Draft Work Product (include QAQC)\TRI\2018 TRI Files from TRI-ME\COR_Facility_23633_Forms.xml"	"FullControl"	"Allow"	"POWERENG\tdillow"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\BAL\Mid-Atlantic_Resources\Bitumar USA\Tank 14 Replacement\30-15-PDF.pdf"	"FullControl"	"Allow"	"POWERENG\tdillow"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\BAL\Mid-Atlantic_Resources\Boston Properties\164155, BXP Metro Center II-TSA\4 Draft Work Folder\Annual_Air_Pollutant_Emissions.docx"	"FullControl"	"Allow"	"POWERENG\tdillow"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\Shares$\BAL\Mid-Atlantic_Resources\Boston Properties\164155, BXP Metro Center II-TSA\4 Draft Work Folder\Emergency_Generator_GP_Form-540.doc"	"FullControl"	"Allow"	"POWERENG\tdillow"	"None"	"None"
