"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\cdcfs1\Attachment_Archive$"	"1996490"	"1365863"	"482512339230"	"0"	"0"	"1365863"	"482512339230"	"1095939"	"442742663267"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\cdcfs1\Automation"	"300"	"965"	"2472702715"	"925"	"2463403115"	"40"	"9299600"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\cdcfs1\Azure_Data_Factory"	"29"	"121745"	"4193029184"	"27311"	"1391457379"	"94434"	"2801571805"	"67814"	"1038076507"	"41171"	"238545555"	"14374"	"37121957"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\cdcfs1\BAL"	"60707"	"553545"	"1120368951670"	"32992"	"64746196225"	"520553"	"1055622755445"	"492055"	"984392253639"	"471426"	"943777038238"	"448336"	"888605868953"	"418565"	"827750469821"	"396358"	"685836112528"	"363774"	"584811163249"	"332251"	"501946575863"	"310637"	"444515781402"	"258860"	"354141295412"
"\\cdcfs1\ConEst"	"58"	"4922"	"172484858"	"35"	"5230585"	"4887"	"167254273"	"4824"	"157786901"	"4561"	"109031811"	"2"	"3224766"	"2"	"3224766"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\cdcfs1\Discovery"	"57853"	"1223363"	"10109991051569"	"8427"	"1514232854367"	"1214936"	"8595758197202"	"775979"	"6239826063577"	"628343"	"5394017616510"	"483775"	"4373890606440"	"324909"	"2588986125137"	"199193"	"1522339245301"	"176316"	"1502989443524"	"166889"	"420936418160"	"136000"	"294541705351"	"103827"	"190374887048"
"\\cdcfs1\Enviro_Service"	"33025"	"191816"	"1122736952286"	"47388"	"394047746567"	"144428"	"728689205719"	"98701"	"417468826190"	"55097"	"239855902828"	"31381"	"133953088792"	"21565"	"99593098694"	"15373"	"60291249440"	"9666"	"41399157357"	"4225"	"20019858192"	"1648"	"11106419957"	"1029"	"9748726130"
"\\cdcfs1\Facilities"	"1587"	"227608"	"969039275090"	"0"	"0"	"227608"	"969039275090"	"227597"	"968786532860"	"224366"	"722846062782"	"140"	"199893329"	"121"	"146200612"	"112"	"145841585"	"100"	"142941334"	"89"	"142063737"	"26"	"2094678"	"24"	"1957082"
"\\cdcfs1\Facilities_Scans"	"38"	"9631"	"1011103509774"	"8093"	"989352158492"	"1538"	"21751351282"	"1"	"64791"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\cdcfs1\HST"	"45480"	"339441"	"402212726278"	"16734"	"21866547144"	"322707"	"380346179134"	"305734"	"342101309636"	"288256"	"316331511887"	"274981"	"299274280652"	"263072"	"282137238043"	"251142"	"264073373449"	"224420"	"196470806619"	"207347"	"169955624739"	"189584"	"146628877690"	"171559"	"124489480817"
"\\cdcfs1\Projects"	"144366"	"613762"	"6663685101063"	"170471"	"2818928096881"	"443291"	"3844757004182"	"163876"	"818404189114"	"79530"	"137000440428"	"63287"	"48425945695"	"44669"	"24072937589"	"41476"	"21403109413"	"36907"	"20419450576"	"32834"	"16909130166"	"29569"	"16121449875"	"23302"	"14599891554"
"\\cdcfs1\PW"	"2543133"	"26344979"	"47226334345014"	"1672161"	"4755735652128"	"24672818"	"42470598692886"	"23475339"	"39738741527856"	"22163747"	"35902127345575"	"20747028"	"33639634365751"	"20335516"	"32450730020836"	"19765647"	"31136130218927"	"15570505"	"28070839418551"	"13711629"	"18394411411879"	"9634087"	"10664696635699"	"1541228"	"1323351625230"
"\\cdcfs1\PW_Active_01$"	"330348"	"2166588"	"4723787562204"	"18257"	"91296764267"	"2148331"	"4632490797937"	"2146219"	"4545561574792"	"2143528"	"4332653747203"	"2136923"	"4049840230654"	"2108184"	"3915949792543"	"2085500"	"3828784244127"	"2065341"	"3780240920043"	"2042322"	"3740107219584"	"6646"	"13878317398"	"575"	"7277851379"
"\\cdcfs1\Shares$"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
