"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\AST-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\AST-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\AST-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AST-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AST-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AST-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects"	"FullControl"	"Allow"	"POWERENG\FS-ASTFS1-Austin_Projects-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ASTFS1-Austin_Projects-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ASTFS1-Austin_Projects-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects\Friendswood Energy\Alternative Ammonia Limit 2018\Files.zip"	"FullControl"	"Allow"	"POWERENG\lmoon"	"None"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects\Friendswood Energy\CLOSED 154739 Friendswood ALT NH3 LIMIT\From Friendswood\Download Items from Quantum\Files.zip"	"FullControl"	"Allow"	"POWERENG\lmoon"	"None"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects\Friendswood Energy\Friendswood Second Turbine 2018\Info From Quantum\501D5 info.docx"	"FullControl"	"Allow"	"POWERENG\lmoon"	"None"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects\Friendswood Energy\Friendswood Second Turbine 2018\Info From Quantum\Operation Records.xlsx"	"FullControl"	"Allow"	"POWERENG\lmoon"	"None"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects\Friendswood Energy\Friendswood Second Turbine 2018\Info From Quantum\Selling Information.pptx"	"FullControl"	"Allow"	"POWERENG\lmoon"	"None"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects\Friendswood Energy\Friendswood Second Turbine 2018\Info From Quantum\westinghouse korea photos Part 1.zip"	"FullControl"	"Allow"	"POWERENG\lmoon"	"None"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects\Friendswood Energy\Friendswood Second Turbine 2018\Info From Quantum\westinghouse korea photos part 2.zip"	"FullControl"	"Allow"	"POWERENG\lmoon"	"None"	"None"
"\\?\UNC\AST-SMB01\Shares$\REPLICATE\Austin_Projects\Friendswood Energy\Friendswood Second Turbine 2018\Info From Quantum\westinghouse korea Photos part 3.zip"	"FullControl"	"Allow"	"POWERENG\lmoon"	"None"	"None"
