"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\atlfs1\FAC_Elec-Cntls"	"92"	"2083"	"484937204"	"0"	"0"	"2083"	"484937204"	"2083"	"484937204"	"2083"	"484937204"	"2083"	"484937204"	"2083"	"484937204"	"2082"	"484936639"	"2081"	"484936167"	"2081"	"484936167"	"2081"	"484936167"	"2081"	"484936167"
"\\atlfs1\FAC_Proj_Mgmt"	"28"	"95"	"53139411"	"0"	"0"	"95"	"53139411"	"95"	"53139411"	"95"	"53139411"	"95"	"53139411"	"95"	"53139411"	"94"	"53138885"	"94"	"53138885"	"94"	"53138885"	"93"	"53092293"	"92"	"53071056"
"\\atlfs1\FAC_Shared"	"57915"	"526283"	"816541392513"	"3317"	"18704218140"	"522966"	"797837174373"	"477721"	"717989614921"	"440437"	"653335188746"	"433590"	"646081979596"	"426869"	"638839713834"	"415684"	"615962860486"	"396429"	"575635456833"	"369139"	"523678100450"	"324344"	"463863556235"	"260412"	"299739308105"
"\\atlfs1\Generation"	"95095"	"990102"	"1691534224044"	"17330"	"4022335905"	"972772"	"1687511888139"	"966862"	"1685910298884"	"959788"	"1625385394826"	"950975"	"1541857634423"	"935215"	"1333649043117"	"925761"	"1295203998880"	"895446"	"1193136959789"	"883787"	"1015696559661"	"863197"	"891889318067"	"724799"	"679084584458"
"\\atlfs1\MultiDept"	"1262"	"24065"	"23306399509"	"5"	"1011983"	"24060"	"23305387526"	"24060"	"23305387526"	"24059"	"23305387000"	"24058"	"23305387000"	"24057"	"23305309013"	"24057"	"23305309013"	"24047"	"23301951317"	"24046"	"23301932373"	"24041"	"23296494933"	"24031"	"23295586233"
"\\atlfs1\PTE"	"2280"	"34252"	"47955285035"	"0"	"0"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"	"34252"	"47955285035"
"\\atlfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\atlfs1\Standards"	"305"	"14940"	"5933667758"	"2"	"10008115"	"14938"	"5923659643"	"14938"	"5923659643"	"14936"	"5922837274"	"14936"	"5922837274"	"14911"	"5830409892"	"14902"	"5784817375"	"14887"	"5635161141"	"14841"	"5406657442"	"14648"	"4936863436"	"14444"	"4425506924"
"\\atlfs1\Studies"	"9981"	"160536"	"129121452254"	"0"	"0"	"160536"	"129121452254"	"160536"	"129121452254"	"160536"	"129121452254"	"160536"	"129121452254"	"160536"	"129121452254"	"160536"	"129121452254"	"160535"	"129121440990"	"160535"	"129121440990"	"160535"	"129121440990"	"160535"	"129121440990"
"\\atlfs1\Substation"	"170021"	"1799198"	"2051751161995"	"135129"	"170254108187"	"1664069"	"1881497053808"	"1513922"	"1672997552829"	"1381706"	"1458693638077"	"1260008"	"1277243527045"	"1148608"	"1112086676557"	"1037318"	"947369399556"	"909953"	"794004023860"	"781890"	"663858865122"	"687707"	"548001922916"	"581132"	"440680809574"
"\\atlfs1\TanDpm"	"18961"	"166641"	"225364012550"	"0"	"0"	"166641"	"225364012550"	"166641"	"225364012550"	"166641"	"225364012550"	"166641"	"225364012550"	"166641"	"225364012550"	"166641"	"225364012550"	"166638"	"221727367686"	"157580"	"203749181135"	"150301"	"191651105350"	"135590"	"169948034714"
"\\atlfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\atlfs1\Xchange"	"60"	"1810"	"597696223"	"807"	"274758136"	"1003"	"322938087"	"826"	"259365113"	"697"	"211048058"	"502"	"150198419"	"429"	"91230042"	"425"	"89771026"	"334"	"75539758"	"330"	"70963502"	"325"	"70602606"	"324"	"70541166"
