"ShareName"	"Owners"
"\\atlfs1\FAC_Elec-Cntls"	"POWERENG\FS-ATLFS1-FAC_Elec-Cntls-Share-FC, POWERENG\FS-ATLFS1-FAC_Elec-Cntls-Share-RW"
"\\atlfs1\FAC_Proj_Mgmt"	"POWERENG\FS-ATLFS1-FAC_Proj_Mgmt-Share-FC, POWERENG\FS-ATLFS1-FAC_Proj_Mgmt-Share-RW"
"\\atlfs1\FAC_Shared"	"POWERENG\FS-ATLFS1-FAC_Shared-Share-FC, POWERENG\FS-ATLFS1-FAC_Shared-Share-RW"
"\\atlfs1\Generation"	"POWERENG\FS-ATLFS1-Generation-Share-FC, POWERENG\FS-ATLFS1-Generation-Share-RW"
"\\atlfs1\MultiDept"	"POWERENG\FS-ATLFS1-MultiDept-Share-FC, POWERENG\FS-ATLFS1-MultiDept-Share-RW"
"\\atlfs1\PTE"	"POWERENG\FS-ATLFS1-PTE-Share-FC, POWERENG\FS-ATLFS1-PTE-Share-RW"
"\\atlfs1\Shares$"	"Everyone"
"\\atlfs1\Standards"	"POWERENG\FS-AllShares-XD, POWERENG\FS-ATLFS1-Standards-Share-FC, POWERENG\FS-ATLFS1-Standards-Share-RW"
"\\atlfs1\Studies"	"POWERENG\FS-ATLFS1-Studies-Share-FC, POWERENG\FS-ATLFS1-Studies-Share-RW"
"\\atlfs1\Substation"	"POWERENG\FS-ATLFS1-Substation-Share-FC, POWERENG\FS-ATLFS1-Substation-Share-RW"
"\\atlfs1\TanDpm"	"POWERENG\FS-ATLFS1-TanDpm-Share-FC, POWERENG\FS-ATLFS1-TanDpm-Share-RW"
"\\atlfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\atlfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
