"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\BDC-SVMAFS01\Shares$"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-50272"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AppsScm_Backups"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AppsScm_Backups"	"FullControl"	"Allow"	"POWERENG\FS-BDCFS1-AppsScm_Backups-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AppsScm_Backups"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BDCFS1-AppsScm_Backups-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AppsScm_Backups"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BDCFS1-AppsScm_Backups-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\ArcGIS_HA"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\ArcGIS_HA"	"FullControl"	"Allow"	"POWERENG\FS-BDCFS1-ArcGIS_HA-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\ArcGIS_HA"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BDCFS1-ArcGIS_HA-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\ArcGIS_HA"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BDCFS1-ArcGIS_HA-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AUS_GIS"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AUS_GIS"	"FullControl"	"Allow"	"POWERENG\FS-BDCFS1-AUS_GIS-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AUS_GIS"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BDCFS1-AUS_GIS-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AUS_GIS"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BDCFS1-AUS_GIS-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AUS_GIS\Projects\ENSTAR\UNEnhancements"	"Modify, Synchronize"	"Allow"	"POWERENG\dsilva"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BDC-SVMAFS01\Shares$\AUS_GIS\Projects\ENSTAR\UNEnhancements"	"Modify, Synchronize"	"Allow"	"POWERENG\dsilva-adm"	"ContainerInherit, ObjectInherit"	"None"
