"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\bdcfs1\AppsScm_Backups"	"7886"	"32264"	"22691269240"	"0"	"0"	"32264"	"22691269240"	"30164"	"8453841733"	"29684"	"7310721424"	"29113"	"5329447615"	"16945"	"2772587739"	"14505"	"1939484814"	"12574"	"1175026892"	"11644"	"586124401"	"1263"	"189568780"	"574"	"94577152"
"\\bdcfs1\ArcGIS_HA$"	"54710"	"93083"	"2295747598"	"3845"	"509312384"	"89238"	"1786435214"	"88528"	"1709571068"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\bdcfs1\AUS_GIS"	"1830"	"45444"	"215097286055"	"30523"	"205341652608"	"14921"	"9755633447"	"3677"	"246664442"	"904"	"224348211"	"80"	"2693150"	"56"	"2598168"	"56"	"2598168"	"56"	"2598168"	"56"	"2598168"	"56"	"2598168"	"2"	"25252"
"\\bdcfs1\CAE"	"491646"	"6421951"	"8031338465297"	"108447"	"1228443070154"	"6313504"	"6802895395143"	"6193543"	"6615815269108"	"5607850"	"5058926412487"	"5521760"	"3884570701907"	"4512690"	"3040011874146"	"4112368"	"1551034315987"	"3887244"	"884949719884"	"3697434"	"714636658437"	"2155287"	"517089050342"	"2058393"	"286406186703"
"\\bdcfs1\CAE-Apps"	"6058"	"28204"	"176374527385"	"154"	"8841239087"	"28050"	"167533288298"	"27291"	"157381473342"	"25855"	"127397496336"	"24813"	"99497153489"	"24340"	"90978972607"	"23610"	"80628202378"	"23086"	"71053177574"	"21637"	"50693255948"	"20018"	"45595574588"	"19066"	"33592388637"
"\\bdcfs1\CMSoftware"	"98914"	"844638"	"3186527987158"	"33139"	"640696272552"	"811499"	"2545831714606"	"745151"	"1988830005652"	"678580"	"1583401506830"	"601339"	"1242419133423"	"524853"	"960706100581"	"458475"	"659992264783"	"425643"	"551517306074"	"376349"	"445276010101"	"343907"	"363148162871"	"293767"	"274676819741"
"\\bdcfs1\Env_GIS"	"1860964"	"28669109"	"69868244781840"	"3563569"	"8935516811756"	"25105540"	"60932727970084"	"22284895"	"50230089455281"	"20095504"	"44399250607570"	"16678054"	"39226570333888"	"14019284"	"32032656193873"	"10557592"	"24241657712297"	"6868605"	"19791767737179"	"5710886"	"16799932572905"	"4557221"	"13584641676606"	"3676260"	"10862177435703"
"\\bdcfs1\Facilities"	"699"	"25652"	"154191365200"	"0"	"0"	"25652"	"154191365200"	"25651"	"154191365200"	"25636"	"152217790688"	"11708"	"100007213170"	"2335"	"23218151119"	"452"	"1126287372"	"225"	"89156985"	"199"	"86462422"	"175"	"84209225"	"153"	"63037900"
"\\bdcfs1\Generation"	"7727"	"140244"	"368214758453"	"13666"	"103384157404"	"126578"	"264830601049"	"108469"	"173786046366"	"96343"	"107396427752"	"17231"	"19489754946"	"10606"	"10053337119"	"7285"	"7185553299"	"5037"	"5181941776"	"4799"	"3755298059"	"4395"	"1500561495"	"3888"	"1402521726"
"\\bdcfs1\IEB"	"13303"	"235075"	"3212916980298"	"22060"	"465901241915"	"213015"	"2747015738383"	"168827"	"1760293828931"	"140840"	"1269098146763"	"88740"	"500204254894"	"77960"	"484879054475"	"63957"	"328771085345"	"48881"	"157218612445"	"24171"	"85489620591"	"12990"	"50094435628"	"12048"	"49946506127"
"\\bdcfs1\PD_Scans"	"2219"	"451980"	"3960430616050"	"3"	"223744"	"451977"	"3960430392306"	"226069"	"1005500899685"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\bdcfs1\Projects"	"12189"	"178901"	"943899473718"	"33190"	"349176948076"	"145711"	"594722525642"	"132904"	"492933182201"	"129701"	"490983544512"	"129042"	"488490512965"	"128529"	"484552301752"	"125903"	"484389817982"	"120016"	"438162781686"	"79372"	"252199996484"	"49349"	"79343787776"	"46452"	"69891102279"
"\\bdcfs1\Reference"	"2158"	"20765"	"2573443246715"	"2517"	"1493618441"	"18248"	"2571949628274"	"14373"	"2570012731126"	"14217"	"2569950142635"	"12988"	"2567938152393"	"12016"	"2567798257810"	"12015"	"2567798254507"	"10071"	"2509885793158"	"10071"	"2509885793158"	"10070"	"2509885547092"	"10061"	"2509885123333"
"\\bdcfs1\Shares$"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\bdcfs1\SQL_DB_Backups"	"7359"	"65937"	"1756888495935"	"19660"	"200021561330"	"46277"	"1556866934605"	"35689"	"1492924555552"	"34310"	"1212387979552"	"34180"	"1153256593381"	"33698"	"444575414245"	"33326"	"432915075650"	"30207"	"28602191250"	"30106"	"1217938512"	"6097"	"413172867"	"589"	"6953581"
"\\bdcfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\bdcfs1\Xchange"	"51"	"1249"	"3438386816"	"1130"	"246400196"	"119"	"3191986620"	"14"	"65096"	"7"	"34107"	"7"	"34107"	"6"	"29171"	"6"	"29171"	"5"	"24049"	"3"	"14778"	"3"	"14778"	"3"	"14778"
