"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\BIR-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\BIR-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\BIR-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\REPLICATE\Hardy_Archive"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\REPLICATE\Hardy_Archive"	"FullControl"	"Allow"	"POWERENG\FS-BIRFS1-Hardy_Archive-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\REPLICATE\Hardy_Archive"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-BIRFS1-Hardy_Archive-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\REPLICATE\Hardy_Archive"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-BIRFS1-Hardy_Archive-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\REPLICATE\Projects"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\REPLICATE\Projects"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Projects-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\REPLICATE\Projects"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Projects-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\BIR-SMB01\Shares$\REPLICATE\Projects"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Projects-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
