"ShareName"	"Owners"
"\\boifs1\Accounting"	"POWERENG\FS-BOIFS1-Accounting-Share-FC, POWERENG\FS-BOIFS1-Accounting-Share-RW"
"\\boifs1\AEP_OE_Projects"	"POWERENG\FS-BOIFS1-AEP_OE_Projects-Share-FC, POWERENG\FS-BOIFS1-AEP_OE_Projects-Share-RW"
"\\boifs1\Archive"	"POWERENG\FS-BOIFS1-Archive-Share-FC, POWERENG\FS-BOIFS1-Archive-Share-RW"
"\\boifs1\BKK_Data"	"POWERENG\FS-BOIFS1-BKK_data-Share-FC, POWERENG\FS-BOIFS1-BKK_data-Share-RW"
"\\boifs1\BMoffetHold$"	"POWERENG\FS-BOIFS1-BMoffettHold-Share-FC, POWERENG\FS-BOIFS1-BMoffettHold-Share-RW"
"\\boifs1\CAD_Standards"	"POWERENG\FS-BOIFS1-CAD_Standards-Share-FC, POWERENG\FS-BOIFS1-CAD_Standards-Share-RW"
"\\boifs1\CDLibrary"	"POWERENG\FS-BOIFS1-CDLibrary-Share-FC, POWERENG\FS-BOIFS1-CDLibrary-Share-RW"
"\\boifs1\Civil"	"POWERENG\FS-BOIFS1-Civil-Share-FC, POWERENG\FS-BOIFS1-Civil-Share-RW"
"\\boifs1\DRP"	"POWERENG\FS-BOIFS1-DRP-Share-FC, POWERENG\FS-BOIFS1-DRP-Share-RW"
"\\boifs1\Enviro"	"POWERENG\FS-BOIFS1-Enviro-Share-FC, POWERENG\FS-BOIFS1-Enviro-Share-RW"
"\\boifs1\Facilities"	"POWERENG\FS-ALL-Facilities-Share-FC, POWERENG\FS-ALL-Facilities-Share-RW"
"\\boifs1\FAC_Elec_Cntls"	"POWERENG\FS-BOIFS1-FAC_Elec_Cntls-Share-FC, POWERENG\FS-BOIFS1-FAC_Elec_Cntls-Share-RW"
"\\boifs1\FAC_Shared"	"POWERENG\FS-BOIFS1-FAC_Shared-Share-FC, POWERENG\FS-BOIFS1-FAC_Shared-Share-RW"
"\\boifs1\Federal"	"POWERENG\FS-BOIFS1-Federal-Share-FC, POWERENG\FS-BOIFS1-Federal-Share-RW"
"\\boifs1\Generation"	"POWERENG\FS-BOIFS1-Generation-Share-FC, POWERENG\FS-BOIFS1-Generation-Share-RW"
"\\boifs1\GIS"	"POWERENG\FS-BOIFS1-GIS-Share-FC, POWERENG\FS-BOIFS1-GIS-Share-RW"
"\\boifs1\GIS_Data"	"POWERENG\FS-BOIFS1-GIS_data-Share-FC, POWERENG\FS-BOIFS1-GIS_data-Share-RW"
"\\boifs1\GIS_Softdist"	"POWERENG\FS-BOIFS1-GIS_softdist-Share-FC, POWERENG\FS-BOIFS1-GIS_softdist-Share-RW"
"\\boifs1\GTAudit"	"POWERENG\FS-BOIFS1-GTAudit-Share-FC, POWERENG\FS-BOIFS1-GTAudit-Share-RW"
"\\boifs1\HRBenefits"	"POWERENG\FS-BOIFS1-HRBenefits-Share-FC, POWERENG\FS-BOIFS1-HRBenefits-Share-RW"
"\\boifs1\INDadmin"	"POWERENG\FS-BOIFS1-INDAdmin-Share-FC, POWERENG\FS-BOIFS1-INDAdmin-Share-RW"
"\\boifs1\IndustPM"	"POWERENG\FS-BOIFS1-IndustPM-Share-FC, POWERENG\FS-BOIFS1-IndustPM-Share-RW"
"\\boifs1\Industrial"	"POWERENG\FS-BOIFS1-Industrial-Share-FC, POWERENG\FS-BOIFS1-Industrial-Share-RW"
"\\boifs1\ITES"	"POWERENG\FS-BOIFS1-ITES-Share-FC, POWERENG\FS-BOIFS1-ITES-Share-RW"
"\\boifs1\ITxchange"	"POWERENG\FS-BOIFS1-ITxchange-Share-FC, POWERENG\FS-BOIFS1-ITxchange-Share-RW"
"\\boifs1\Legal"	"POWERENG\FS-BOIFS1-Legal-Share-FC, POWERENG\FS-BOIFS1-Legal-Share-RW"
"\\boifs1\Lidar"	"POWERENG\FS-BOIFS1-Lidar-Share-FC, POWERENG\FS-BOIFS1-Lidar-Share-RW"
"\\boifs1\Line"	"POWERENG\FS-BOIFS1-Line-Share-FC, POWERENG\FS-BOIFS1-Line-Share-RW"
"\\boifs1\Operations"	"POWERENG\FS-BOIFS1-Operations-Share-FC, POWERENG\FS-BOIFS1-Operations-Share-RW"
"\\boifs1\PD_DistMgmt"	"POWERENG\FS-BOIFS1-PD_DistMgmt-Share-FC, POWERENG\FS-BOIFS1-PD_DistMgmt-Share-RW"
"\\boifs1\PD_Prog_Mgmt"	"POWERENG\FS-BOIFS1-PD_Prog_Mgmt-Share-FC, POWERENG\FS-BOIFS1-PD_Prog_Mgmt-Share-RW"
"\\boifs1\Printroom_Requests"	"POWERENG\FS-BOIFS1-Printroom_Requests-Share-FC, POWERENG\FS-BOIFS1-Printroom_Requests-Share-RW"
"\\boifs1\Processing"	"POWERENG\FS-BOIFS1-Processing-Share-FC, POWERENG\FS-BOIFS1-Processing-Share-RW"
"\\boifs1\ProjControl"	"POWERENG\FS-BOIFS1-ProjControl-Share-FC, POWERENG\FS-BOIFS1-ProjControl-Share-RW"
"\\boifs1\Projects"	"POWERENG\FS-BOIFS1-Projects-Share-FC, POWERENG\FS-BOIFS1-Projects-Share-RW"
"\\boifs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\boifs1\Shares$"	"Everyone"
"\\boifs1\Studies"	"POWERENG\FS-BOIFS1-Studies-Share-FC, POWERENG\FS-BOIFS1-Studies-Share-RW"
"\\boifs1\Substation"	"POWERENG\FS-BOIFS1-Substation-Share-FC, POWERENG\FS-BOIFS1-Substation-Share-RW"
"\\boifs1\TD"	"POWERENG\FS-BOIFS1-TD-Share-FC, POWERENG\FS-BOIFS1-TD-Share-RW"
"\\boifs1\TnD_GIS_PM"	"POWERENG\FS-BOIFS1-TnD_GIS-PM-Share-FC, POWERENG\FS-BOIFS1-TnD_GIS-PM-Share-RW"
"\\boifs1\vCAD"	"POWERENG\FS-BOIFS1-vCAD-Share-FC, POWERENG\FS-BOIFS1-vCAD-Share-RW"
"\\boifs1\VendSubmit"	"POWERENG\FS-BOIFS1-VendSubmit-Share-FC, POWERENG\FS-BOIFS1-VendSubmit-Share-RW"
"\\boifs1\Visual_Tech"	"POWERENG\FS-BOIFS1-Visual_Tech-Share-FC, POWERENG\FS-BOIFS1-Visual_Tech-Share-RW"
"\\boifs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
