"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\CLK-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\CLK-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\CLK-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Studies"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Studies"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CLKFS1-Studies-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Studies"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CLKFS1-Studies-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Studies"	"FullControl"	"Allow"	"POWERENG\FS-CLKFS1-Studies-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Visual_tech"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Visual_tech"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CLKFS1-Visual_Tech-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Visual_tech"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CLKFS1-Visual_Tech-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Visual_tech"	"FullControl"	"Allow"	"POWERENG\FS-CLKFS1-Visual_Tech-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Reference-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Reference"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CLK-SMB01\Shares$\REPLICATE\Reference"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
