"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\COL-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\COL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Electric_Power_(AEP)\03. Ohio\Portage_Interconnection\GIS\Cultural Constraints\Archaeological Sites.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Electric_Power_(AEP)\03. Ohio\Portage_Interconnection\GIS\Cultural Constraints\Determinations of Eligibility.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Electric_Power_(AEP)\03. Ohio\Portage_Interconnection\GIS\Cultural Constraints\Historic Structures.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Electric_Power_(AEP)\03. Ohio\Portage_Interconnection\GIS\Cultural Constraints\NR Boundaries.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Electric_Power_(AEP)\03. Ohio\Portage_Interconnection\GIS\Cultural Constraints\NR Listings.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Electric_Power_(AEP)\03. Ohio\Portage_Interconnection\GIS\Cultural Constraints\OAI SIte Boundaries.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Electric_Power_(AEP)\03. Ohio\Portage_Interconnection\GIS\Cultural Constraints\OGS Cemeteries.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Electric_Power_(AEP)\03. Ohio\Portage_Interconnection\GIS\Cultural Constraints\Phase 1 Surveys.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Electric_Power_(AEP)\03. Ohio\Portage_Interconnection\GIS\Cultural Constraints\Previously surveyed historic areas.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Municipal_Power_Transmission_(AMPT)\Arcanum\Siting\02. GIS_KMZs\Cultural Export\Archaeological Sites.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Municipal_Power_Transmission_(AMPT)\Arcanum\Siting\02. GIS_KMZs\Cultural Export\Cemeteries.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Environmental\Projects\American_Municipal_Power_Transmission_(AMPT)\Arcanum\Siting\02. GIS_KMZs\Cultural Export\Historic Buildings.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-28039"	"None"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Substation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Substation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Substation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\Substation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Substation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-ALL-PD_DistMgmt-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-PD_DistMgmt-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\COL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-PD_DistMgmt-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
