"ShareName"	"Owners"
"\\adcfs1\Line"	"POWERENG\FS-ALL-Line-Share-FC, POWERENG\FS-ALL-Line-Share-RW"
"\\adcfs1\PD_DistMgmt"	"POWERENG\FS-ALL-PD_DistMgmt-Share-FC, POWERENG\FS-ALL-PD_DistMgmt-Share-RW"
"\\adcfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\adcfs1\Shares$"	"Everyone"
"\\adcfs1\Studies"	"POWERENG\FS-ALL-SAS-Share-FC, POWERENG\FS-ALL-SAS-Share-RW"
"\\adcfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\adcfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\aplfs1\Facilities"	"POWERENG\FS-ALL-Facilities-Share-FC, POWERENG\FS-ALL-Facilities-Share-RW"
"\\aplfs1\Industrial"	"POWERENG\FS-ALL-Industrial-Share-FC, POWERENG\FS-ALL-Industrial-Share-RW"
"\\aplfs1\Shares$"	"Everyone"
"\\aplfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\arbfs1\Line"	"POWERENG\FS-ARBFS1-Line-Share-FC, POWERENG\FS-ARBFS1-Line-Share-RW"
"\\arbfs1\PD_DistMgmt"	"POWERENG\FS-ARBFS1-PD_DistMgmt-Share-FC, POWERENG\FS-ARBFS1-PD_DistMgmt-Share-RW"
"\\arbfs1\SAS"	"POWERENG\FS-ARBFS1-SAS-Share-FC, POWERENG\FS-ARBFS1-SAS-Share-RW"
"\\arbfs1\Shares$"	"Everyone"
"\\arbfs1\Substation"	"POWERENG\FS-ARBFS1-Substation-Share-FC, POWERENG\FS-ARBFS1-Substation-Share-RW"
"\\arbfs1\UpdateManager"	"Everyone"
