"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\DEN-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\DEN-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\DEN-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\Enviro"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\Enviro"	"FullControl"	"Allow"	"POWERENG\FS-DENFS1-Enviro-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\Enviro"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-DENFS1-Enviro-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\DEN-SMB01\Shares$\REPLICATE\Enviro"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-DENFS1-Enviro-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
