"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\denfs1\DENSUS"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\denfs1\Enviro"	"23218"	"187857"	"432388860071"	"3204"	"24844712375"	"184653"	"407544147696"	"172480"	"376952270970"	"165855"	"336094576527"	"155760"	"294879751473"	"144809"	"251639124218"	"135117"	"205131778459"	"101927"	"149681294054"	"30117"	"82460025490"	"23196"	"53261617332"	"12300"	"28157475945"
"\\denfs1\Galena_Advisors"	"69"	"729"	"455768495"	"0"	"0"	"729"	"455768495"	"729"	"455768495"	"729"	"455768495"	"729"	"455768495"	"729"	"455768495"	"729"	"455768495"	"729"	"455768495"	"729"	"455768495"	"729"	"455768495"	"728"	"455737805"
"\\denfs1\GIS"	"16525"	"59938"	"160008419946"	"0"	"0"	"59938"	"160008419946"	"58793"	"156235586526"	"58278"	"143139921196"	"53880"	"80671143651"	"46860"	"66238806743"	"45433"	"55925249883"	"42608"	"42986209273"	"42309"	"33649516923"	"41583"	"24960454149"	"40977"	"20922669701"
"\\denfs1\Line"	"269"	"2262"	"190080809189"	"882"	"124660614218"	"1380"	"65420194971"	"790"	"47095458778"	"718"	"39004914207"	"575"	"32373953444"	"548"	"30389175009"	"520"	"29494403281"	"487"	"22716783137"	"356"	"21189183400"	"298"	"16726000334"	"213"	"3866956959"
"\\denfs1\Plot Files"	"47"	"253"	"34507105"	"0"	"0"	"253"	"34507105"	"253"	"34507105"	"253"	"34507105"	"253"	"34507105"	"253"	"34507105"	"253"	"34507105"	"253"	"34507105"	"253"	"34507105"	"253"	"34507105"	"253"	"34507105"
"\\denfs1\Salient"	"158775"	"1613666"	"3031571057575"	"6"	"24063206"	"1613660"	"3031546994369"	"1613033"	"3028695985225"	"1607308"	"2975785842659"	"1497707"	"2623376081104"	"1329137"	"2118902825692"	"1028452"	"1376273231760"	"836736"	"1102285429449"	"604241"	"684486509953"	"339552"	"303318815830"	"216046"	"200664121719"
"\\denfs1\SAS"	"19259"	"183392"	"461863181134"	"3559"	"4744587966"	"179833"	"457118593168"	"174994"	"446233428961"	"167295"	"434335727728"	"162164"	"374321946857"	"149203"	"319535971322"	"138330"	"259695486391"	"130424"	"235691531768"	"106877"	"198633377943"	"71629"	"155062666012"	"57492"	"66355180820"
"\\denfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\denfs1\Substation"	"151500"	"2082077"	"2688714866012"	"63835"	"135721848701"	"2018242"	"2552993017311"	"1946461"	"2364425860062"	"1852386"	"2152028794043"	"1766843"	"1974057488417"	"1688015"	"1795420845927"	"1572082"	"1437308288782"	"1456305"	"1151801145666"	"1293109"	"922511089026"	"1123324"	"717084950823"	"996204"	"597158245003"
"\\denfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\denfs1\Xchange"	"14"	"51"	"1416570302"	"51"	"1416570302"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
