"ShareName"	"Owners"
"\\denfs1\DENSUS"	"POWERENG\FS-DENFS1-DENSUS-Share-FC, POWERENG\FS-DENFS1-DENSUS-Share-RW"
"\\denfs1\Enviro"	"POWERENG\FS-DENFS1-Enviro-Share-FC, POWERENG\FS-DENFS1-Enviro-Share-RW"
"\\denfs1\Galena_Advisors"	"POWERENG\FS-DENFS1-Galena_Advisors-Share-FC, POWERENG\FS-DENFS1-Galena_Advisors-Share-RW"
"\\denfs1\GIS"	"POWERENG\FS-DENFS1-GIS-Share-FC, POWERENG\FS-DENFS1-GIS-Share-RW"
"\\denfs1\Line"	"POWERENG\FS-ALL-Line-Share-FC, POWERENG\FS-ALL-Line-Share-RW"
"\\denfs1\Plot Files"	"POWERENG\FS-DENFS1-Plot Files-Share-FC, POWERENG\FS-DENFS1-Plot Files-Share-RW"
"\\denfs1\Salient"	"POWERENG\FS-DENFS1-Salient-Share-FC, POWERENG\FS-DENFS1-Salient-Share-RW"
"\\denfs1\SAS"	"POWERENG\FS-DENFS1-SAS-Share-FC, POWERENG\FS-DENFS1-SAS-Share-RW"
"\\denfs1\Shares$"	"Everyone"
"\\denfs1\Substation"	"POWERENG\FS-DENFS1-Substation-Share-FC, POWERENG\FS-DENFS1-Substation-Share-RW"
"\\denfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\denfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
