"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\FMC-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\FMC-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_1033-T13_(Curlew_TW_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_1033-T23_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_1158-T13_(Hudson_TW_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_1622-T13_(Pecos_TW_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_477-T16_(Hawk_TW_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_565-T17_(Calumet_TW_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_665-T16_(Oswego_TW_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_763-T17_(Wabash_TW_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_795-T13_(Condor_TW_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR-TW_958-T16_(Suwanee_TW_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_1033-T13_(Curlew_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_1272-T11_(Bittern_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_1272-T9_(Diver_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_1351-T13_(Martin_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_1590-T11_(Lapwing_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_1590-T13_(Falcon_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_1742-T9_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_183-T114_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_1851-T13_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_195-T20_L1_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_1962-T11_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_267-T16_(Partridge_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_267-T23_(Junco_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_270-T35_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_300-T16_(Ostrich_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_336-T16_(Linnet_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_397-T13_(Brant_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_397-T16_(Ibis_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_397-T23_(Lark_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_427-T13_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_477-T13_(Flicker_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
"\\?\UNC\FMC-SMB01\Shares$\REPLICATE\Line\Pls\Pls_Cadd\PLS Library\PLS Cables\3M ACCR\Updated 2018\ACCR_477-T16_(Hawk_ACCR)_v3.wir"	"FullControl"	"Allow"	"POWERENG\cmilitaru"	"None"	"None"
