"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\frefs1\Admin"	"472"	"5304"	"11269375848"	"152"	"66694620"	"5152"	"11202681228"	"4743"	"10249580975"	"4568"	"7982013332"	"4545"	"7978627450"	"4291"	"7504701465"	"3938"	"6408993929"	"3708"	"6297873776"	"3339"	"6155338973"	"3252"	"5953155118"	"3040"	"5591989619"
"\\frefs1\Enviro"	"275729"	"764889"	"1320627637340"	"14371"	"35424395120"	"750518"	"1285203242220"	"735098"	"1161150132047"	"717437"	"1106115776482"	"693132"	"1023173740020"	"662203"	"934491757658"	"618072"	"858810589803"	"546486"	"724187154518"	"479622"	"620309117754"	"411665"	"485489335548"	"329271"	"376704608826"
"\\frefs1\ITops"	"58"	"452"	"2020210728"	"0"	"0"	"452"	"2020210728"	"452"	"2020210728"	"452"	"2020210728"	"452"	"2020210728"	"452"	"2020210728"	"451"	"2018622364"	"451"	"2018622364"	"451"	"2018622364"	"450"	"2018595178"	"450"	"2018595178"
"\\frefs1\Line"	"174427"	"1692552"	"6714160422235"	"1221"	"6699098779"	"1691331"	"6707461323456"	"1689466"	"6690941927185"	"1681421"	"6600851818599"	"1673680"	"6505902243959"	"1623255"	"5909272215084"	"1507398"	"5094501411369"	"1400872"	"4367424304689"	"1212778"	"3492474778838"	"1061049"	"2866636758004"	"918982"	"2285930483228"
"\\frefs1\Project_Control"	"3620"	"18326"	"34577936864"	"0"	"0"	"18326"	"34577936864"	"18325"	"34429571504"	"18130"	"34068929320"	"18072"	"34035783515"	"17674"	"33446059224"	"17364"	"32938558891"	"14947"	"30125884570"	"6971"	"10235330848"	"4195"	"2379282017"	"1543"	"914292426"
"\\frefs1\Reference"	"5530"	"141432"	"442359910227"	"22"	"46142079"	"141410"	"442313768148"	"141154"	"441457389134"	"140992"	"439194257463"	"140992"	"439194257463"	"140856"	"438564232985"	"140619"	"437388011510"	"140361"	"436688054306"	"138314"	"364393530907"	"96069"	"157592446878"	"58466"	"90119217418"
"\\frefs1\SAS"	"66264"	"601895"	"568286123248"	"176"	"7530166754"	"601719"	"560755956494"	"599981"	"528344931761"	"599945"	"526311741788"	"599582"	"522901407843"	"595148"	"511422132513"	"586054"	"499368195123"	"566821"	"460060300622"	"541181"	"399660617926"	"513240"	"345015776329"	"436867"	"268247241381"
"\\frefs1\Shares$"	"12000"	"242589"	"131352574951"	"343"	"2959695236"	"242246"	"128392879715"	"239951"	"120238852923"	"221947"	"113780135574"	"215718"	"112434453459"	"212075"	"110400528151"	"179969"	"109528782301"	"162516"	"108201974695"	"158733"	"107646815016"	"156932"	"107416793014"	"143938"	"100547225614"
"\\frefs1\StratComm"	"13372"	"148804"	"256743034747"	"620"	"968922589"	"148184"	"255774112158"	"146058"	"248457656430"	"140748"	"233868528630"	"138083"	"227656593092"	"135914"	"224387541993"	"133385"	"212402443855"	"127448"	"203482718368"	"118620"	"187419365550"	"109662"	"176362415702"	"96902"	"120859533079"
"\\frefs1\Substation"	"184804"	"2287168"	"3145765642702"	"61909"	"155007420697"	"2225259"	"2990758222005"	"2124971"	"2767404956239"	"1997449"	"2448200383761"	"1900164"	"2123969951757"	"1817040"	"1939051950503"	"1716127"	"1710508227452"	"1414770"	"1515080916991"	"1249187"	"1204207919577"	"1141129"	"1039511052165"	"1025149"	"879836697191"
"\\frefs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\frefs1\Video"	"14"	"5086"	"4861083559"	"0"	"0"	"5086"	"4861083559"	"5086"	"4861083559"	"5086"	"4861083559"	"5086"	"4861083559"	"5086"	"4861083559"	"5086"	"4861083559"	"5086"	"4861083559"	"5085"	"4860436391"	"5085"	"4860436391"	"5084"	"4860435927"
"\\frefs1\Xchange"	"14"	"4"	"2928751779"	"4"	"2928751779"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
