"ShareName"	"Owners"
"\\frefs1\Admin"	"POWERENG\FS-FREFS1-Admin-Share-FC, POWERENG\FS-FREFS1-Admin-Share-RW"
"\\frefs1\Enviro"	"POWERENG\FS-FREFS1-Enviro-Share-FC, POWERENG\FS-FREFS1-Enviro-Share-RW"
"\\frefs1\ITops"	"POWERENG\FS-FREFS1-Itops-Share-FC, POWERENG\FS-FREFS1-Itops-Share-RW"
"\\frefs1\Line"	"POWERENG\FS-FREFS1-Line-Share-FC, POWERENG\FS-FREFS1-Line-Share-RW"
"\\frefs1\Project_Control"	"POWERENG\FS-FREFS1-Project_Control-Share-FC, POWERENG\FS-FREFS1-Project_Control-Share-RW"
"\\frefs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\frefs1\SAS"	"POWERENG\FS-FREFS1-SAS-Share-FC, POWERENG\FS-FREFS1-SAS-Share-RW"
"\\frefs1\Shares$"	"Everyone"
"\\frefs1\StratComm"	"POWERENG\FS-FREFS1-StratComm-Share-FC, POWERENG\FS-FREFS1-StratComm-Share-RW"
"\\frefs1\Substation"	"POWERENG\FS-FREFS1-Substation-Share-FC, POWERENG\FS-FREFS1-Substation-Share-RW"
"\\frefs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\frefs1\Video"	"POWERENG\FS-FREFS1-Video-Share-FC, POWERENG\FS-FREFS1-Video-Share-RW"
"\\frefs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
