"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\FTW-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\FTW-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\FTW-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\NONREPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\NONREPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\CPData"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\CPData"	"FullControl"	"Allow"	"POWERENG\FS-FTWFS1-CPDATA-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\CPData"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-CPDATA-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\CPData"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-CPDATA-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS"	"FullControl"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\APPROVED Office Resources"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\APPROVED Office Resources"	"FullControl"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-Approv_Office_Rsrcs-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\APPROVED Office Resources"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-Approv_Office_Rsrcs-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\APPROVED Office Resources"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-Approv_Office_Rsrcs-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\Client Archives\ETEC\FERC 881"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\Client Archives\ETEC\FERC 881"	"FullControl"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-FERC881-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\Client Archives\ETEC\FERC 881"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-FERC881-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\Client Archives\ETEC\FERC 881"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-FERC881-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\Substation Masters"	"Modify, Synchronize"	"Allow"	"POWERENG\smartin"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\Substation Masters"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\Office Resources\Substation Masters"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-33593"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\BTomlinson\BTdata"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\BTomlinson\BTdata"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-67150"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\BTomlinson\BTdata"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-BTdata-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\BTomlinson\BTdata"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-BTdata-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\SMartin\Resources"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\SMartin\Resources"	"FullControl"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-Resources-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\SMartin\Resources"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-Resources-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\SMartin\Resources"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-Resources-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\THickman\Management Tools"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\THickman\Management Tools"	"FullControl"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-Management_Tools-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\THickman\Management Tools"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-Management_Tools-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\FTWSUS\zUsers\THickman\Management Tools"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-FTWSUS-Share-Management_Tools-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FTWFS1-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\Line\pls\pls_cadd\Projects\161359"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\Line\pls\pls_cadd\Projects\161359"	"FullControl"	"Allow"	"POWERENG\FS-FTWFS1-Line-Share-161359-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\Line\pls\pls_cadd\Projects\161359"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-Line-Share-161359-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\Line\pls\pls_cadd\Projects\161359"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-FTWFS1-Line-Share-161359-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\FTW-SMB01\Shares$\REPLICATE\Line\Reference\Admin\DM & AL REFERENCE"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
