"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\ftwfs1\CPData"	"16263"	"241978"	"139407256820"	"0"	"0"	"241978"	"139407256820"	"241977"	"139407256360"	"241977"	"139407256360"	"241972"	"139406345315"	"241963"	"139405973765"	"241945"	"139404403773"	"241894"	"139395807334"	"241872"	"139392660843"	"241859"	"139390243717"	"241722"	"139370896819"
"\\ftwfs1\FTWSUS"	"696648"	"1829330"	"3042951083295"	"68132"	"133860050554"	"1761198"	"2909091032741"	"1711483"	"2654552139456"	"1651081"	"2502473378943"	"1569062"	"2212785888182"	"1433524"	"2041729626507"	"1243771"	"1803478165784"	"1042706"	"1559560412416"	"670913"	"1038692568334"	"587043"	"920040563035"	"456621"	"765871875714"
"\\ftwfs1\Line"	"162925"	"1959324"	"10209761976982"	"87406"	"513155964522"	"1871918"	"9696606012460"	"1767897"	"8653842014546"	"1490945"	"7182701191697"	"1340692"	"5861599599818"	"1213605"	"4922074262783"	"1077925"	"3826891566084"	"921037"	"2866553133830"	"777321"	"2426943294243"	"673966"	"1765848683217"	"485533"	"1152584278197"
"\\ftwfs1\PD_DistMgmt"	"7137"	"118197"	"645800333585"	"2818"	"10234396689"	"115379"	"635565936896"	"110017"	"585670011610"	"105313"	"574885606127"	"84390"	"519310095130"	"48545"	"155593971451"	"30097"	"103626691273"	"25809"	"88486806656"	"21440"	"74608702009"	"10926"	"20970808881"	"7623"	"17253407217"
"\\ftwfs1\Project_Controls"	"11621"	"50136"	"25546517748"	"1302"	"2201885214"	"48834"	"23344632534"	"48233"	"22572556258"	"47409"	"21690141348"	"46373"	"21099002142"	"43506"	"19648653856"	"40200"	"18723963919"	"36106"	"17695272930"	"27045"	"13747137550"	"16687"	"9369686948"	"10220"	"5653972635"
"\\ftwfs1\SAS"	"17140"	"156387"	"188829650989"	"15"	"20574238"	"156372"	"188809076751"	"156366"	"188806249213"	"156292"	"188708828629"	"154950"	"186609100501"	"151518"	"180901107952"	"140562"	"167819584894"	"124220"	"155237183238"	"97571"	"126243172557"	"63968"	"104733118414"	"46785"	"76881284206"
"\\ftwfs1\Shares$"	"5766"	"166328"	"28902834412"	"343"	"2959695236"	"165985"	"25943139176"	"163690"	"17789112384"	"145686"	"11330395035"	"139457"	"9984712920"	"135814"	"7950787612"	"103708"	"7079041762"	"86255"	"5752234156"	"82472"	"5197074477"	"80671"	"4967052475"	"72670"	"4502060766"
"\\ftwfs1\Substation"	"39965"	"578787"	"747310122889"	"70293"	"131525526710"	"508494"	"615784596179"	"458419"	"533128446143"	"403498"	"447535559341"	"361732"	"389257506249"	"306658"	"310215554577"	"245119"	"226525220589"	"192648"	"154409356345"	"165962"	"122300442268"	"143509"	"102099882910"	"128147"	"90771626845"
"\\ftwfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\ftwfs1\Xchange"	"13"	"59"	"409455938"	"59"	"409455938"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
