"ShareName"	"Owners"
"\\ftwfs1\CPData"	"POWERENG\FS-FTWFS1-CPDATA-Share-FC, POWERENG\FS-FTWFS1-CPDATA-Share-RW"
"\\ftwfs1\FTWSUS"	"POWERENG\FS-FTWFS1-FTWSUS-Share-FC, POWERENG\FS-FTWFS1-FTWSUS-Share-RW"
"\\ftwfs1\Line"	"POWERENG\FS-FTWFS1-Line-Share-FC, POWERENG\FS-FTWFS1-Line-Share-RW"
"\\ftwfs1\PD_DistMgmt"	"POWERENG\FS-FTWFS1-PD_DistMgmt-Share-FC, POWERENG\FS-FTWFS1-PD_DistMgmt-Share-RW"
"\\ftwfs1\Project_Controls"	"POWERENG\FS-FTWFS1-Project_Controls-Share-FC, POWERENG\FS-FTWFS1-Project_Controls-Share-RW"
"\\ftwfs1\SAS"	"POWERENG\FS-FTWFS1-SAS-Share-FC, POWERENG\FS-FTWFS1-SAS-Share-RW"
"\\ftwfs1\Shares$"	"Everyone"
"\\ftwfs1\Substation"	"POWERENG\FS-FTWFS1-Substation-Share-FC, POWERENG\FS-FTWFS1-Substation-Share-RW"
"\\ftwfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\ftwfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
