"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\GRB-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\GRB-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE"	"FullControl"	"Allow"	"POWERENG\FS-GRBFS1-GIS-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-GRBFS1-GIS-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-GRBFS1-GIS-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE\Backup"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE\Backup"	"FullControl"	"Allow"	"POWERENG\FS-GRBFS1-Backup-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE\Backup"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-GRBFS1-Backup-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE\Backup"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-GRBFS1-Backup-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE\GIS"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE\GIS"	"FullControl"	"Allow"	"POWERENG\FS-GRBFS1-GIS-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE\GIS"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-GRBFS1-GIS-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\GRB-SMB01\Shares$\REPLICATE\GIS"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-GRBFS1-GIS-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
