"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\HLY-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\HLY-SMB01\Shares$\Accounting"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-HLYFS1-Accounting-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-HLYFS1-Accounting-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting"	"FullControl"	"Allow"	"POWERENG\FS-HLYFS1-Accounting-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's"	"FullControl"	"Allow"	"POWERENG\FS-HLYFS1-Accounting-Share-1099-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-HLYFS1-Accounting-Share-1099-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-HLYFS1-Accounting-Share-1099-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PAC\Feb 19\PAC 02.22.19 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PAC\Jan 19\PAC 01-11-19.pdf"	"FullControl"	"Allow"	"POWERENG\bkorzen"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PAC\Jan 19\PAC 01-25-19.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PCI\FEB 19\PCI 02.22.19 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PCI\JAN 19\PCI 01.25.19 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PEI\FEB - 19\PEI 02.22.19 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PEI\JAN - 19\PEI 01.25.19 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PEI\MAR - 19\PEI 03.19.19 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PTE\FEBRUARY 19\PTE 02.22.19 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\1099's\2020\2020 Bank Statements\2019 EFT-ACH BATCHES\PTE\JANUARY 19\PTE 01.25.19 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\AR\AR_20\AR Check Copies\March Check Copies\Arconic Ck 190024193.pdf"	"FullControl"	"Allow"	"POWERENG\FS-HLYFS1-Accounting-Share-RO"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\DISC\2017\Taxes_2017\3.  2017 SUT FILED RETURNS\PCI  08 AUG 2017\PCI FL AUG 2017.PDF"	"FullControl"	"Allow"	"S-1-5-21-1933389765-510667840-168829947-7335"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\DISC\2018\2018 EFT - ACH BATCHES\PAC\PAC DEC\PAC 12-04-18 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\DISC\2018\2018 EFT - ACH BATCHES\PAC\PAC DEC\PAC 12-07-18 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\DISC\2018\2018 EFT - ACH BATCHES\PCI\PCI AUG\PCI 07-31-18 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\DISC\2018\2018 EFT - ACH BATCHES\PCI\PCI DEC\PCI 12-04-18 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
"\\?\UNC\HLY-SMB01\Shares$\Accounting\QFILES\DISC\2018\2018 EFT - ACH BATCHES\PCI\PCI DEC\PCI 12-07-18 ACH.pdf"	"FullControl"	"Allow"	"POWERENG\skloer"	"None"	"None"
