"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\hlyfs1\Accounting"	"49538"	"522454"	"731022005414"	"39089"	"122084709226"	"483365"	"608937296188"	"446101"	"532298516661"	"402049"	"455174042439"	"358884"	"388292405527"	"316411"	"311789781044"	"282539"	"227545869513"	"250142"	"177008004084"	"219186"	"145882957989"	"184900"	"116195240324"	"127082"	"76227724951"
"\\hlyfs1\Admin"	"2370"	"52308"	"41975088259"	"908"	"844003040"	"51400"	"41131085219"	"50696"	"40462519605"	"50062"	"39906328275"	"49506"	"39451070178"	"48683"	"38028408344"	"47141"	"36689592468"	"45229"	"30556019938"	"43289"	"28497809216"	"40280"	"25134565826"	"35050"	"18409178858"
"\\hlyfs1\Architec"	"4006"	"66318"	"101351899666"	"175"	"2843992124"	"66143"	"98507907542"	"66057"	"97617798829"	"65313"	"92430191479"	"61598"	"81807230294"	"57419"	"75882974601"	"50227"	"47293817948"	"41238"	"41041303187"	"37486"	"37918125125"	"33560"	"36371725481"	"32506"	"34817008606"
"\\hlyfs1\BD"	"194377"	"1387319"	"6932579068283"	"54533"	"355768433281"	"1332786"	"6576810635002"	"1267623"	"6035465411476"	"1201131"	"5566445377914"	"1139063"	"5180247714755"	"1056566"	"4626072935166"	"942680"	"3115555052326"	"821030"	"2239299553513"	"688632"	"1587524088846"	"539702"	"1078110647828"	"430249"	"860042250755"
"\\hlyfs1\BDArt"	"1661"	"14320"	"38807240434"	"11"	"13601793"	"14309"	"38793638641"	"14276"	"38775944393"	"14268"	"38770070788"	"14188"	"38642592404"	"13672"	"36348713527"	"13320"	"34495867815"	"12795"	"32992785570"	"11845"	"30849504449"	"11072"	"28912673302"	"10544"	"27963642657"
"\\hlyfs1\BD_Archive"	"107286"	"661569"	"809380627243"	"35"	"29644153"	"661534"	"809350983090"	"661509"	"809339451826"	"661479"	"809150932317"	"661471"	"809148645368"	"661414"	"808903446985"	"660397"	"807902149465"	"646643"	"790729294121"	"596885"	"703108059132"	"537271"	"613418237277"	"472112"	"487299932429"
"\\hlyfs1\Civil"	"1125"	"13789"	"19952277618"	"120"	"499511522"	"13669"	"19452766096"	"13564"	"19358474709"	"13291"	"18863086332"	"12725"	"17017861917"	"11623"	"14610758050"	"10982"	"10075178629"	"9355"	"6101219934"	"8915"	"5270326087"	"8713"	"5202312437"	"8465"	"4973247826"
"\\hlyfs1\ClientStd"	"631"	"13410"	"3069619156"	"0"	"0"	"13410"	"3069619156"	"13408"	"3069593556"	"13406"	"3069573076"	"13405"	"3069568468"	"13405"	"3069568468"	"13403"	"3069555156"	"13400"	"3069544404"	"13398"	"3069507540"	"13398"	"3069507540"	"13396"	"3019303876"
"\\hlyfs1\Controls"	"41139"	"594227"	"431217201245"	"1129"	"1851737152"	"593098"	"429365464093"	"589873"	"412249904667"	"584958"	"372270875039"	"576328"	"350603781021"	"571649"	"345015599753"	"558710"	"287578272412"	"550738"	"264611831798"	"538568"	"229597298852"	"511216"	"194060348097"	"455290"	"157760827757"
"\\hlyfs1\DSS"	"5"	"215"	"7189294"	"0"	"0"	"215"	"7189294"	"215"	"7189294"	"215"	"7189294"	"215"	"7189294"	"215"	"7189294"	"215"	"7189294"	"215"	"7189294"	"215"	"7189294"	"215"	"7189294"	"215"	"7189294"
