"ShareName"	"Owners"
"\\hlyfs1\Accounting"	"POWERENG\FS-HLYFS1-Accounting-Share-FC, POWERENG\FS-HLYFS1-Accounting-Share-RW"
"\\hlyfs1\Admin"	"POWERENG\FS-HLYFS1-Admin-Share-FC, POWERENG\FS-HLYFS1-Admin-Share-RW"
"\\hlyfs1\Architec"	"POWERENG\FS-HLYFS1-Architec-Share-FC, POWERENG\FS-HLYFS1-Architec-Share-RW"
"\\hlyfs1\BD"	"POWERENG\FS-HLYFS1-BD-Share-FC, POWERENG\FS-HLYFS1-BD-Share-RW"
"\\hlyfs1\BDArt"	"POWERENG\FS-HLYFS1-BdArt-Share-FC, POWERENG\FS-HLYFS1-BdArt-Share-RW"
"\\hlyfs1\BD_Archive"	"POWERENG\FS-HLYFS1-BD_Archive-Share-FC, POWERENG\FS-HLYFS1-BD_Archive-Share-RW"
"\\hlyfs1\Civil"	"POWERENG\FS-HLYFS1-Civil-Share-FC, POWERENG\FS-HLYFS1-Civil-Share-RW"
"\\hlyfs1\ClientStd"	"POWERENG\FS-HLYFS1-Clientstd-Share-FC, POWERENG\FS-HLYFS1-Clientstd-Share-RW"
"\\hlyfs1\Controls"	"POWERENG\FS-HLYFS1-Controls-Share-FC, POWERENG\FS-HLYFS1-Controls-Share-RW"
"\\hlyfs1\DSS"	"POWERENG\FS-HLYFS1-DSS-Share-FC, POWERENG\FS-HLYFS1-DSS-Share-RW"
"\\hlyfs1\Electrical"	"POWERENG\FS-HLYFS1-Electrical-Share-FC, POWERENG\FS-HLYFS1-Electrical-Share-RW"
"\\hlyfs1\Enviro"	"POWERENG\FS-HLYFS1-Enviro-Share-FC, POWERENG\FS-HLYFS1-Enviro-Share-RW"
"\\hlyfs1\Fleet"	"POWERENG\FS-HLYFS1-Fleet-Share-FC, POWERENG\FS-HLYFS1-Fleet-Share-RW"
"\\hlyfs1\Generation"	"POWERENG\FS-HLYFS1-Generation-Share-FC, POWERENG\FS-HLYFS1-Generation-Share-RW"
"\\hlyfs1\HmnRsrcs"	"POWERENG\FS-HLYFS1-Hmnrsrcs-Share-FC, POWERENG\FS-HLYFS1-Hmnrsrcs-Share-RW"
"\\hlyfs1\HRPayroll"	"POWERENG\FS-HLYFS1-Hrpayroll-Share-FC, POWERENG\FS-HLYFS1-Hrpayroll-Share-RW"
"\\hlyfs1\IndProco"	"POWERENG\FS-HLYFS1-Indproco-Share-FC, POWERENG\FS-HLYFS1-Indproco-Share-RW"
"\\hlyfs1\ITES"	"POWERENG\FS-HLYFS1-ITES-Share-FC, POWERENG\FS-HLYFS1-ITES-Share-RW"
"\\hlyfs1\ITOpsPM"	"POWERENG\FS-HLYFS1-ITopsPM-Share-FC, POWERENG\FS-HLYFS1-ITopsPM-Share-RW"
"\\hlyfs1\Legal"	"POWERENG\FS-HLYFS1-Legal-Share-FC, POWERENG\FS-HLYFS1-Legal-Share-RW"
"\\hlyfs1\Legal2$"	"POWERENG\FS-HLYFS1-Legal2-Share-FC, POWERENG\FS-HLYFS1-Legal2-Share-RW"
"\\hlyfs1\Line"	"POWERENG\FS-HLYFS1-Line-Share-FC, POWERENG\FS-HLYFS1-Line-Share-RW"
"\\hlyfs1\Line_Lidar"	"POWERENG\FS-HLYFS1-Line_Lidar-Share-FC, POWERENG\FS-HLYFS1-Line_Lidar-Share-RW"
