"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\ITO-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\ITO-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Admin"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Admin"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ITOFS1-Admin-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Admin"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ITOFS1-Admin-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Admin"	"FullControl"	"Allow"	"POWERENG\FS-ITOFS1-Admin-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\HHMI"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\HHMI"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ITOFS1-HHMI-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\HHMI"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ITOFS1-HHMI-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\HHMI"	"FullControl"	"Allow"	"POWERENG\FS-ITOFS1-HHMI-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ITOFS1-Facilities-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ITOFS1-Facilities-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities"	"FullControl"	"Allow"	"POWERENG\FS-ITOFS1-Facilities-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\Projects\projects_active\moveToDriveH\144411\EMAT\Vendor Submittals\S059_26 13 00-02 MV SWGR RO-HO-KO-031020\S059_26 13 00-02 MV SWGR RO-HO-KO _031020.pdf"	"FullControl"	"Allow"	"POWERENG\dzimmerman"	"None"	"None"
