"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\KCK-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\KCK-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\BD"	"Modify, Synchronize"	"Allow"	"NT AUTHORITY\Authenticated Users"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\BD"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\KCK_Office"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\KCK_Office"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-KCKFS1-KCK_Office-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\KCK_Office"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-KCKFS1-KCK_Office-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\KCK_Office"	"FullControl"	"Allow"	"POWERENG\FS-KCKFS1-KCK_Office-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-KCKFS1-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-KCKFS1-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-KCKFS1-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\00-Project_Template\Backup\hickory rev11_Revised.bak"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-27908"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\151033\Archived\Attachments\Saragosa_Geo_Ref.dxf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-33331"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\151255\Archived\Backup\Tyler-Tyler NW_2019-08-29.zip"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\151256\Archived\structures\m4\pls_pole\library\brooks-201407.xrm"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\151256\Archived\structures\m4\pls_pole\library\rea-2015.xrm"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\151715\Archived\Attachments\Oncor-Renner TPL-Allen-Plano T.zip"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\151715\Archived\Survey\SAM\11-3-2020\Oncor-Renner TPL-Allen-Plano T.zip"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\151715\Archived\Survey\SAM\SUE Level A\10-16-20\[EXTERNAL] File Transfer_ Onco.zip"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\151715\Archived\Survey\SAM\SUE Level A\10-16-20\[EXTERNAL] File Transfer_ Onco2.zip"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\151715\Archived\Survey\SAM\ACAD-1018043669-Oncor-RennerTPL-Allen-PlanoTennyson138kVRebuild-PlanoTennysonSubstation-Structure11-4D=QL-A-9-17-2020.dxf"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\154649\Archived\Jayton - Spur\Structures\M4\PLS_Pole\Library\ansi_2017.wpp"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-61551"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\154649\Archived\Jayton - Spur\Structures\M4\PLS_Pole\Library\ob.inl"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-61551"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\154649\Archived\Jayton - Spur\Structures\M4\PLS_Pole\Library\rea-2015.xrm"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-61551"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\155490 - Neosho Sub 314\Archived\Milligan Wind Project\Milligan Info.zip"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-33331"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\155839 - Tyler Switch\Archived\Structures\M4\PLS_Pole\Library\distran.brc"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\155839 - Tyler Switch\Archived\Structures\M4\PLS_Pole\Library\hughes.brc"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\155839 - Tyler Switch\Archived\Structures\M4\PLS_Pole\Library\meyerld-2012-rev.tdv"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\155839 - Tyler Switch\Archived\Structures\M4\PLS_Pole\Library\rea-2015.xrm"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\157321\05 - Friend Ranch - Sonora\Cables\5_16-7_strand_ehs_steel.wir"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-61551"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\157321\11-North Edinburg-Palmview\Cables\brugg_32ay54acs-3c_b.wir"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-61551"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\157321\11-North Edinburg-Palmview\Cables\brugg_cal-54acs.wir"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-61551"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158348\Archived\Structures\M4\PLS_Pole\components\hughes.brc"	"FullControl"	"Allow"	"POWERENG\tgunter"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158685 Manena\04-IFA Reviews\803012U-Manena-Rosebluff\G0696N02_10a.pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-23685"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158685 Manena\04-IFA Reviews\803012V-Bayou D'inde-Mossville\G0601N02_10a.pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-23685"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\10 - Deen Point-Red Point\Structures\M4\PLS_Pole\Library\valmont_sw07.spp"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-61551"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\10 - Deen Point-Red Point\Structures\M4\PLS_Pole\Library\valmont_sw10.spp"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-61551"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Cables\7no_10_alumoweld.wir"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Cables\7no_8_alumoweld.wir"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Cables\grouse_acsr.wir"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Cables\GROUSE_ACSR_GA2_GCC.wir"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\ansi_2017.mat"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\ansi_2017.wpp"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\brooks-201407.xrm"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\brooks.brc"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\distran.brc"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\guy.cab"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\HPS_OB.inl"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\hughes.brc"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\k-line_2012.inl"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
"\\?\UNC\KCK-SMB01\Shares$\REPLICATE\Line\PLS\PLS_CADD\Projects\158715\56 - Blessing - Equistar Victoria\Structures\PLS_Pole\Libraries\lapp.inl"	"FullControl"	"Allow"	"POWERENG\keggerman"	"None"	"None"
