"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\LAX-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\LAX-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\LAX-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\LAX-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\LAX-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\LAX-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-LAXFS1-Environmental-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-LAXFS1-Environmental-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-LAXFS1-Environmental-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental\Personal Files\Dice\Glenn Lukos Work\162865 stored in PW\Records search\20-048.7z"	"FullControl"	"Allow"	"POWERENG\mdice"	"None"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental\Personal Files\Dice\Glenn Lukos Work\Lukos Camarillo historic eval\axi-1959_18w-14.tif"	"FullControl"	"Allow"	"POWERENG\mdice"	"None"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental\Personal Files\Dice\Glenn Lukos Work\Lukos Camarillo historic eval\c-104_m-11.tif"	"FullControl"	"Allow"	"POWERENG\mdice"	"None"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental\Personal Files\Dice\Glenn Lukos Work\Lukos Camarillo historic eval\c-1910_37.tif"	"FullControl"	"Allow"	"POWERENG\mdice"	"None"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental\Personal Files\Dice\Glenn Lukos Work\Lukos Camarillo historic eval\ha-kl_21.tif"	"FullControl"	"Allow"	"POWERENG\mdice"	"None"	"None"
"\\?\UNC\LAX-SMB01\Shares$\REPLICATE\Environmental\Personal Files\Dice\Glenn Lukos Work\Lukos Camarillo historic eval\ha-kl_49.tif"	"FullControl"	"Allow"	"POWERENG\mdice"	"None"	"None"
