"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\MTL-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\MTL-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\MTL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Public"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Public"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MTLFS1-Public-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Public"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MTLFS1-Public-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Public"	"FullControl"	"Allow"	"POWERENG\FS-MTLFS1-Public-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Restricted"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Restricted"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MTLFS1-Restricted-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Restricted"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MTLFS1-Restricted-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Restricted"	"FullControl"	"Allow"	"POWERENG\FS-MTLFS1-Restricted-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Substation"	"FullControl"	"Allow"	"POWERENG\FS-MTLFS1-Substation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Substation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MTLFS1-Substation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Shared\Substation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MTLFS1-Substation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Reference-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Reference"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Reference"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Smartplant\CAE"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Smartplant\CAE"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-MTLFS1-CAE-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Smartplant\CAE"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-MTLFS1-CAE-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\MTL-SMB01\Shares$\REPLICATE\Smartplant\CAE"	"FullControl"	"Allow"	"POWERENG\FS-MTLFS1-CAE-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
