"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\opkfs1\Controls"	"132"	"2631"	"1077363844"	"0"	"0"	"2631"	"1077363844"	"2631"	"1077363844"	"2631"	"1077363844"	"2631"	"1077363844"	"2631"	"1077363844"	"2631"	"1077363844"	"1868"	"505364610"	"1850"	"275309368"	"31"	"55414272"	"29"	"15753980"
"\\opkfs1\Facilities"	"7"	"7"	"14187"	"0"	"0"	"7"	"14187"	"7"	"14187"	"7"	"14187"	"1"	"2041"	"1"	"2041"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\opkfs1\Generation"	"1096"	"15319"	"30348369927"	"1206"	"1017142858"	"14113"	"29331227069"	"12658"	"27819438644"	"11158"	"26910516086"	"8951"	"9490119030"	"7398"	"8175353517"	"6888"	"6236560685"	"6263"	"5687499136"	"5393"	"3948341952"	"4950"	"3501635881"	"4527"	"2657029275"
"\\opkfs1\Line"	"736"	"185897"	"78237379092"	"9"	"2065779"	"185888"	"78235313313"	"185883"	"78235201006"	"185846"	"78233648780"	"185840"	"78233540618"	"134129"	"65281861147"	"4069"	"5248877843"	"1132"	"394923629"	"360"	"80071681"	"348"	"38058704"	"161"	"37868010"
"\\opkfs1\PD_DistMgmt"	"5211"	"75866"	"248904569452"	"6768"	"33851539105"	"69098"	"215053030347"	"61575"	"197978257121"	"58703"	"182317832336"	"46268"	"153562028971"	"31892"	"109705793193"	"19295"	"36292890575"	"15609"	"30147726285"	"13331"	"24809292554"	"11626"	"23856238012"	"10496"	"23074108980"
"\\opkfs1\PD_PM"	"512"	"3967"	"14355845936"	"529"	"829755049"	"3438"	"13526090887"	"3061"	"13009352078"	"2241"	"9013498125"	"1582"	"6736228240"	"1039"	"4729165374"	"257"	"816115651"	"81"	"341144091"	"22"	"78026468"	"14"	"46761962"	"9"	"38864559"
"\\opkfs1\Procurement"	"28"	"3254"	"1845337615"	"601"	"108060252"	"2653"	"1737277363"	"1648"	"1594740027"	"486"	"1183076239"	"321"	"911892433"	"201"	"503071969"	"85"	"221389932"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\opkfs1\Projects"	"127628"	"1357452"	"2666756829857"	"91371"	"289101203811"	"1266081"	"2377655626046"	"1114240"	"1719332134084"	"988253"	"1431454540798"	"879334"	"832331079903"	"737823"	"578278712820"	"547273"	"307908060665"	"368169"	"119501716457"	"256540"	"102697066604"	"143456"	"87873461493"	"127187"	"59101611156"
"\\opkfs1\PTE"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\opkfs1\Reference"	"33"	"2304"	"175941593367"	"0"	"0"	"2304"	"175941593367"	"2304"	"175941593367"	"2304"	"175941593367"	"2304"	"175941593367"	"1710"	"116970097436"	"11"	"452818848"	"11"	"452818848"	"11"	"452818848"	"0"	"0"	"0"	"0"
"\\opkfs1\SAS"	"574"	"5163"	"14534090726"	"120"	"93953221"	"5043"	"14440137505"	"4967"	"14100298192"	"4255"	"13631043018"	"4239"	"13593344210"	"3820"	"12657783525"	"3730"	"12515593863"	"3593"	"12438991783"	"3219"	"9910550724"	"3198"	"9898432163"	"1036"	"3395869980"
"\\opkfs1\Sega_Archive"	"747144"	"9440782"	"7968404498699"	"1934"	"4157313851"	"9438848"	"7964247184848"	"9437185"	"7957961453628"	"9434671"	"7953507743003"	"9422335"	"7944083891151"	"9415204"	"7936144233470"	"9394913"	"7868175623625"	"9299326"	"7595691044245"	"8819553"	"6724157474644"	"8082596"	"5646685194503"	"7164643"	"4340670222468"
"\\opkfs1\Shares$"	"14033"	"673731"	"155113602165"	"343"	"2959695236"	"673388"	"152153906929"	"670331"	"143885651102"	"652311"	"137426383844"	"631957"	"132200060451"	"540866"	"109941280048"	"429908"	"81299575841"	"326908"	"48795143840"	"261686"	"31630710112"	"223808"	"22464227443"	"159637"	"12875668710"
"\\opkfs1\Substation"	"15812"	"190972"	"307333907822"	"37970"	"89710338547"	"153002"	"217623569275"	"124800"	"178770480137"	"109193"	"154175690712"	"87512"	"118683601537"	"65961"	"74300963256"	"43819"	"47162442486"	"32147"	"21442787407"	"24501"	"15079308782"	"20057"	"11521416896"	"17510"	"10321772016"
"\\opkfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\opkfs1\Xchange"	"33"	"76"	"197900044"	"59"	"123958615"	"17"	"73941429"	"17"	"73941429"	"17"	"73941429"	"17"	"73941429"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
