"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\ORA-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\ORA-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps"	"FullControl"	"Allow"	"POWERENG\FS-ORAFS1-Apps-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ORAFS1-Apps-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ORAFS1-Apps-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps\BMS"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1220945662-448539723-839522115-10620"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps\P3"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1220945662-448539723-839522115-2305"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps\P3"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1220945662-448539723-839522115-6711"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps\P3WIN"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1220945662-448539723-839522115-2305"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps\P3WIN"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1220945662-448539723-839522115-6711"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps\VOL1\APPS"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1220945662-448539723-839522115-10620"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\Apps\VOL1\PRSSYS"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1220945662-448539723-839522115-10620"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
