"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\ORL-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\ORL-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\ORL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Line"	"FullControl"	"Allow"	"POWERENG\FS-ORLFS1-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\PCI"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\PCI"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-PCI-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\PCI"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-PCI-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\PCI"	"FullControl"	"Allow"	"POWERENG\FS-ORLFS1-PCI-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-PD_DistMgmt-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-PD_DistMgmt-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-ORLFS1-PD_DistMgmt-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\RAM_120"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\RAM_120"	"FullControl"	"Allow"	"POWERENG\FS-ORLFS1-RAM_120-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\RAM_120"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-RAM_120-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\RAM_120"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-RAM_120-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Reference"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Reference-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Reference"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Reference"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\SAS"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\SAS"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-SAS-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\SAS"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-SAS-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\SAS"	"FullControl"	"Allow"	"POWERENG\FS-ORLFS1-SAS-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Substation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-Substation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Substation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ORLFS1-Substation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ORL-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-ORLFS1-Substation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
