"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\orlfs1\Line"	"151472"	"1608827"	"5815502489215"	"247"	"11023443883"	"1608580"	"5804479045332"	"1608218"	"5788879470403"	"1604619"	"5743305169614"	"1590048"	"5622483860660"	"1529640"	"5210166004247"	"1448651"	"4699981884052"	"1377898"	"4181916187488"	"1154004"	"3527870541766"	"978058"	"3116585226935"	"831205"	"2456666410697"
"\\orlfs1\PCI"	"75"	"466"	"1991962006"	"1"	"1116"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"	"465"	"1991960890"
"\\orlfs1\PD_DistMgmt"	"40755"	"407691"	"1248956958026"	"6411"	"25014303420"	"401280"	"1223942654606"	"386561"	"1175250151788"	"348965"	"1063027186273"	"308588"	"911679660159"	"271504"	"768703032395"	"215988"	"589842615145"	"145262"	"363085174248"	"58999"	"120062938279"	"27229"	"51445682290"	"14692"	"26352621072"
"\\orlfs1\RAM_120"	"10"	"50"	"1381425"	"0"	"0"	"50"	"1381425"	"50"	"1381425"	"50"	"1381425"	"50"	"1381425"	"50"	"1381425"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\orlfs1\Reference"	"3"	"190"	"12187794194"	"0"	"0"	"190"	"12187794194"	"190"	"12187794194"	"190"	"12187794194"	"190"	"12187794194"	"190"	"12187794194"	"189"	"12187706642"	"189"	"12187706642"	"189"	"12187706642"	"189"	"12187706642"	"189"	"12187706642"
"\\orlfs1\SAS"	"1226"	"12553"	"41834571094"	"3"	"63091543"	"12550"	"41771479551"	"12546"	"41769289997"	"9441"	"18606130666"	"9324"	"17702845435"	"7963"	"10751480850"	"6654"	"6992963039"	"5730"	"6132753033"	"4771"	"3384290846"	"1006"	"180587171"	"775"	"134813403"
"\\orlfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\orlfs1\Substation"	"47163"	"590385"	"805327874008"	"1728"	"4580730571"	"588657"	"800747143437"	"579922"	"625225805536"	"567656"	"595921630261"	"544329"	"548861988196"	"509004"	"507882774651"	"459857"	"451381996927"	"414925"	"399148102031"	"359219"	"373951043946"	"310531"	"351144575370"	"282186"	"326060642261"
"\\orlfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\orlfs1\Xchange"	"11"	"6"	"65737231"	"6"	"65737231"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
