"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\PHX-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\PHX-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\PHX-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PHX-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PHX-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PHX-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PHX-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PHX-SMB01\Shares$\REPLICATE\Environmental"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-PHXFS1-Environmental-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PHX-SMB01\Shares$\REPLICATE\Environmental"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-PHXFS1-Environmental-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PHX-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-PHXFS1-Environmental-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
