"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\PLV-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\PLV-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\PLV-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\NONREPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\NONREPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\REPLICATE\FAC_Elec-Cntls"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\REPLICATE\FAC_Elec-Cntls"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-PLVFS1-FAC_Elec-Cntls-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\REPLICATE\FAC_Elec-Cntls"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-PLVFS1-FAC_Elec-Cntls-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\REPLICATE\FAC_Elec-Cntls"	"FullControl"	"Allow"	"POWERENG\FS-PLVFS1-FAC_Elec-Cntls-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\PLV-SMB01\Shares$\REPLICATE\Industrial"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
