"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\ptlfs1\Cad"	"64662"	"893203"	"1625155681135"	"12408"	"28688279563"	"880795"	"1596467401572"	"873367"	"1571943378735"	"870350"	"1559073459729"	"866756"	"1541948081558"	"859668"	"1484715206348"	"827410"	"1410075224516"	"751826"	"1160728304007"	"656770"	"835635703198"	"579399"	"638975109782"	"498362"	"493760245483"
"\\ptlfs1\Environmental"	"459"	"3639"	"9757021950"	"612"	"1616323101"	"3027"	"8140698849"	"1990"	"5169061400"	"464"	"1401767751"	"296"	"1117600043"	"174"	"912028322"	"135"	"883005613"	"133"	"877127857"	"133"	"877127857"	"115"	"876772083"	"108"	"872143878"
"\\ptlfs1\Line"	"85557"	"1069519"	"5043957479762"	"14137"	"105623781093"	"1055382"	"4938333698669"	"1047863"	"4810839120341"	"1027833"	"4647458415302"	"994606"	"4377399082962"	"924607"	"3726647282644"	"827215"	"3042075834441"	"582203"	"2278230666839"	"481552"	"1713576256064"	"427732"	"1461094807053"	"363689"	"986535441359"
"\\ptlfs1\PD_DistMgmt"	"18766"	"246019"	"792252832847"	"12570"	"156086441910"	"233449"	"636166390937"	"212288"	"441337857913"	"199720"	"369757324713"	"193755"	"288748115421"	"185428"	"265648961529"	"173318"	"247355974040"	"165967"	"232381773681"	"129859"	"164493927713"	"122869"	"152429428444"	"100324"	"106310664551"
"\\ptlfs1\Projects"	"20643"	"156939"	"158552565045"	"19201"	"11285432024"	"137738"	"147267133021"	"124313"	"139507312102"	"102583"	"127448405691"	"84202"	"119224715856"	"67070"	"94599271397"	"55895"	"39493512332"	"46995"	"25828122763"	"42464"	"22525470944"	"39508"	"20941461118"	"34615"	"18669060182"
"\\ptlfs1\Shares$"	"5770"	"171798"	"29675300522"	"343"	"2959695236"	"171455"	"26715605286"	"169160"	"18561578494"	"151156"	"12102861145"	"144927"	"10757179030"	"141284"	"8723253722"	"109178"	"7851507872"	"91725"	"6524700266"	"87942"	"5969540587"	"86141"	"5739518585"	"78140"	"5274526876"
"\\ptlfs1\Studies"	"101782"	"1111105"	"1529643290259"	"3138"	"11417614253"	"1107967"	"1518225676006"	"1107909"	"1514726973305"	"1107362"	"1511980877346"	"1105979"	"1508380179603"	"1101091"	"1428152741292"	"1087891"	"1330383999189"	"1065666"	"1272813931992"	"1022361"	"1185453077442"	"935989"	"987844611889"	"712852"	"785923869825"
"\\ptlfs1\Substation"	"546612"	"6270501"	"9434135916728"	"156204"	"453313147382"	"6114297"	"8980822769346"	"5975381"	"8662595238922"	"5819703"	"8346446238431"	"5558597"	"7989858211966"	"5157506"	"7261886737304"	"4699917"	"6367870530386"	"4087063"	"5068855591875"	"3473562"	"3739492698481"	"2904895"	"2834135461238"	"2331189"	"2165834521192"
"\\ptlfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\ptlfs1\Xchange"	"280"	"16391"	"12173671270"	"8803"	"1674088795"	"7588"	"10499582475"	"3753"	"7387131664"	"3501"	"6971752238"	"2970"	"5538015533"	"2753"	"5200964521"	"2679"	"4996688418"	"2650"	"4963552965"	"2136"	"3354565232"	"1530"	"1278529433"	"1268"	"715837511"
