"ShareName"	"Owners"
"\\ptlfs1\Cad"	"POWERENG\FS-PTLFS1-Cad-Share-FC, POWERENG\FS-PTLFS1-Cad-Share-RW"
"\\ptlfs1\Environmental"	"POWERENG\FS-ALL-Environmental-Share-FC, POWERENG\FS-ALL-Environmental-Share-RW"
"\\ptlfs1\Line"	"POWERENG\FS-PTLFS1-Line-Share-FC, POWERENG\FS-PTLFS1-Line-Share-RW"
"\\ptlfs1\PD_DistMgmt"	"POWERENG\FS-PTLFS1-PD_DistMgmt-Share-FC, POWERENG\FS-PTLFS1-PD_DistMgmt-Share-RW"
"\\ptlfs1\Projects"	"POWERENG\FS-PTLFS1-Projects-Share-FC, POWERENG\FS-PTLFS1-Projects-Share-RW"
"\\ptlfs1\Shares$"	"Everyone"
"\\ptlfs1\Studies"	"POWERENG\FS-PTLFS1-Studies-Share-FC, POWERENG\FS-PTLFS1-Studies-Share-RW"
"\\ptlfs1\Substation"	"POWERENG\FS-PTLFS1-Substation-Share-FC, POWERENG\FS-PTLFS1-Substation-Share-RW"
"\\ptlfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\ptlfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
