"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\RIC-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\RIC-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\RIC-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Enviro_Service"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Enviro_Service"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Enviro_Service"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Enviro_Service"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Substation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Substation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Substation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Substation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Substation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Admin"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Admin"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Admin-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Admin"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Admin-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\RIC-SMB01\Shares$\REPLICATE\Admin"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Admin-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
