"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\sanfs1\Enviro"	"475"	"2205"	"5064275228"	"0"	"0"	"2205"	"5064275228"	"2205"	"5064275228"	"2205"	"5064275228"	"2205"	"5064275228"	"2205"	"5064275228"	"2205"	"5064275228"	"2205"	"5064275228"	"2036"	"4778022332"	"1622"	"2795435881"	"848"	"2070220958"
"\\sanfs1\Facilities_Mgmt"	"24304"	"95929"	"213759072441"	"9"	"2648967"	"95920"	"213756423474"	"95899"	"213755270914"	"95779"	"213677031496"	"95524"	"213564701211"	"95210"	"213275763988"	"93535"	"211130158044"	"92224"	"209873261377"	"84143"	"192246645309"	"77954"	"179160268408"	"68608"	"170172097062"
"\\sanfs1\Lidar"	"719"	"53256"	"470095498493"	"0"	"0"	"53256"	"470095498493"	"53256"	"470095498493"	"53255"	"465381582863"	"53255"	"465381582863"	"53254"	"465381582404"	"53254"	"465381582404"	"53254"	"465381582404"	"53254"	"465381582404"	"53254"	"465381582404"	"38351"	"364195339083"
"\\sanfs1\Line"	"70950"	"993870"	"7909402938607"	"10809"	"43043857235"	"983061"	"7866359081372"	"975217"	"7817533395157"	"926380"	"7644193451473"	"896224"	"7010808737649"	"833536"	"5839850681651"	"740326"	"4375006648800"	"646084"	"3194796342761"	"557337"	"2118605630186"	"454287"	"1444371872931"	"410984"	"1242434272562"
"\\sanfs1\PD_DistMgmt"	"18"	"122"	"233440160"	"6"	"1459912"	"116"	"231980248"	"115"	"231819010"	"38"	"51622872"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\sanfs1\SAS"	"27729"	"206597"	"345241396793"	"195"	"709007886"	"206402"	"344532388907"	"204144"	"341023688783"	"197028"	"310624418751"	"192874"	"288685133537"	"189138"	"267910519466"	"184237"	"246028758607"	"175227"	"219901400571"	"158251"	"195661894894"	"146776"	"164366971999"	"137046"	"131699001546"
"\\sanfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\sanfs1\Substation"	"168047"	"1375180"	"1851883213948"	"18377"	"33507864238"	"1356803"	"1818375349710"	"1336869"	"1780109191769"	"1323228"	"1755526809532"	"1307305"	"1728718940430"	"1243937"	"1649709600377"	"1124640"	"1466852792463"	"1021058"	"1266297684786"	"877306"	"960195929786"	"744572"	"645380650912"	"621797"	"466560045903"
"\\sanfs1\TnDpm"	"18079"	"147837"	"247871591871"	"238"	"384906793"	"147599"	"247486685078"	"144670"	"245169473003"	"140451"	"243477563267"	"137391"	"242866880372"	"130459"	"238046599094"	"127117"	"236645729979"	"118507"	"195266389829"	"106608"	"125277353292"	"96700"	"73981267127"	"78598"	"53230924293"
"\\sanfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\sanfs1\Xchange"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
